apartment_code,bed_code,bed_type,toilet_type,current_rate,gender_allowed,bed_status
A11,A1,Single,Attached,25500.00,male,Active
A11,A1,Single,Common,19500.00,male,Active
A11,B1,Double,Attached,15500.00,male,Active
A11,B1,Double,Common,14500.00,male,Active
A11,B2,Double,Attached,15500.00,male,Active
A11,B2,Double,Common,14500.00,male,Active
A11,C1,Double,Common,14500.00,male,Active
A11,C1,Double,Attached,15500.00,male,Active
A11,C2,Double,Common,14500.00,male,Active
A11,C2,Double,Attached,15500.00,male,Active
A12,A1,Single,Attached,25500.00,female,Active
A12,A1,Single,Common,19500.00,female,Active
A12,B1,Double,Attached,15500.00,female,Active
A12,B1,Double,Common,14500.00,female,Active
A12,B2,Double,Common,14500.00,female,Active
A12,B2,Double,Attached,15500.00,female,Active
A12,C1,Double,Common,14500.00,female,Active
A12,C1,Double,Attached,15500.00,female,Active
A12,C2,Double,Common,14500.00,female,Active
A12,C2,Double,Attached,15500.00,female,Active
A22,A1,Single,Attached,25500.00,male,Not Active
A22,A1,Single,Common,19500.00,male,Not Active
A22,B1,Double,Attached,15500.00,male,Not Active
A22,B1,Double,Common,14500.00,male,Not Active
A22,B2,Double,Common,14500.00,male,Not Active
A22,B2,Double,Attached,15500.00,male,Not Active
A22,C1,Double,Attached,15500.00,male,Not Active
A22,C1,Double,Common,14500.00,male,Not Active
A22,C2,Double,Attached,15500.00,male,Not Active
A22,C2,Double,Common,14500.00,male,Not Active
A23,A1,Single,Common,19500.00,male,Active
A23,A1,Single,Attached,25500.00,male,Active
A23,B1,Double,Common,14500.00,male,Active
A23,B1,Double,Attached,15500.00,male,Active
A23,B2,Double,Common,14500.00,male,Active
A23,B2,Double,Attached,15500.00,male,Active
A23,C1,Double,Common,14500.00,male,Active
A23,C1,Double,Attached,15500.00,male,Active
A23,C2,Double,Common,14500.00,male,Active
A23,C2,Double,Attached,15500.00,male,Active
A24,A1,Single,Attached,25500.00,male,Active
A24,A1,Single,Common,19500.00,male,Active
A24,B1,Triple,Attached,13500.00,male,Active
A24,B2,Triple,Attached,13500.00,male,Active
A24,B3,Triple,Attached,13500.00,male,Active
A24,C1,Double,Attached,15500.00,male,Active
A24,C1,Double,Common,14500.00,male,Active
A24,C2,Double,Common,14500.00,male,Active
A24,C2,Double,Attached,15500.00,male,Active
A41,A1,Single,Common,19500.00,male,Active
A41,A1,Single,Attached,25500.00,male,Active
A41,B1,Triple,Attached,13500.00,male,Active
A41,B2,Triple,Attached,13500.00,male,Active
A41,B3,Triple,Attached,13500.00,male,Active
A41,C1,Double,Common,14500.00,male,Active
A41,C1,Double,Attached,15500.00,male,Active
A41,C2,Double,Common,14500.00,male,Active
A41,C2,Double,Attached,15500.00,male,Active
A41,D1,Double,Attached,15500.00,male,Active
A41,D1,Double,Common,14500.00,male,Active
A41,D2,Double,Attached,15500.00,male,Active
A41,D2,Double,Common,14500.00,male,Active
A44,A1,Single,Attached,25500.00,male,Active
A44,A1,Single,Common,19500.00,male,Active
A44,B1,Double,Attached,15500.00,male,Active
A44,B1,Double,Common,14500.00,male,Active
A44,B2,Double,Common,14500.00,male,Active
A44,B2,Double,Attached,15500.00,male,Active
A44,C1,Double,Common,14500.00,male,Active
A44,C1,Double,Attached,15500.00,male,Active
A44,C2,Double,Attached,15500.00,male,Active
A44,C2,Double,Common,14500.00,male,Active
A44,D1,Single,Common,19500.00,male,Active
A44,D1,Single,Attached,25500.00,male,Active
B11,A1,Single,Common,19500.00,male,Active
B11,A1,Single,Attached,25500.00,male,Active
B11,B1,Double,Attached,15500.00,male,Active
B11,B1,Double,Common,14500.00,male,Active
B11,B2,Double,Common,14500.00,male,Active
B11,B2,Double,Attached,15500.00,male,Active
B11,C1,Double,Common,14500.00,male,Active
B11,C1,Double,Attached,15500.00,male,Active
B11,C2,Double,Common,14500.00,male,Active
B11,C2,Double,Attached,15500.00,male,Active
B11,D1,Single,Attached,25500.00,male,Active
B11,D1,Single,Common,19500.00,male,Active
B12,A1,Single,Common,19500.00,female,Active
B12,A1,Single,Attached,25500.00,female,Active
B12,B1,Double,Common,14500.00,female,Active
B12,B1,Double,Attached,15500.00,female,Active
B12,B2,Double,Common,14500.00,female,Active
B12,B2,Double,Attached,15500.00,female,Active
B12,C1,Double,Common,14500.00,female,Active
B12,C1,Double,Attached,15500.00,female,Active
B12,C2,Double,Attached,15500.00,female,Active
B12,C2,Double,Common,14500.00,female,Active
B13,A1,Single,Attached,25500.00,male,Active
B13,A1,Single,Common,19500.00,male,Active
B13,B1,Double,Attached,15500.00,male,Active
B13,B1,Double,Common,14500.00,male,Active
B13,B2,Double,Common,14500.00,male,Active
B13,B2,Double,Attached,15500.00,male,Active
B13,C1,Double,Common,14500.00,male,Active
B13,C1,Double,Attached,15500.00,male,Active
B13,C2,Double,Attached,15500.00,male,Active
B13,C2,Double,Common,14500.00,male,Active
B14,A1,Single,Attached,25500.00,male,Active
B14,A1,Single,Common,19500.00,male,Active
B14,B1,Double,Attached,15500.00,male,Active
B14,B1,Double,Common,14500.00,male,Active
B14,B2,Double,Attached,15500.00,male,Active
B14,B2,Double,Common,14500.00,male,Active
B14,C1,Double,Common,14500.00,male,Active
B14,C1,Double,Attached,15500.00,male,Active
B14,C2,Double,Attached,15500.00,male,Active
B14,C2,Double,Common,14500.00,male,Active
B22,A1,Single,Attached,25500.00,female,Active
B22,A1,Single,Common,19500.00,female,Active
B22,B1,Double,Common,14500.00,female,Active
B22,B1,Double,Attached,15500.00,female,Active
B22,B2,Double,Common,14500.00,female,Active
B22,B2,Double,Attached,15500.00,female,Active
B22,C1,Double,Common,14500.00,female,Active
B22,C1,Double,Attached,15500.00,female,Active
B22,C2,Double,Common,14500.00,female,Active
B22,C2,Double,Attached,15500.00,female,Active
B24,A1,Single,Common,19500.00,female,Active
B24,A1,Single,Attached,25500.00,female,Active
B24,B1,Triple,Attached,13500.00,female,Active
B24,B2,Triple,Attached,13500.00,female,Active
B24,B3,Triple,Attached,13500.00,female,Active
B24,C1,Double,Attached,15500.00,female,Active
B24,C1,Double,Common,14500.00,female,Active
B24,C2,Double,Common,14500.00,female,Active
B24,C2,Double,Attached,15500.00,female,Active
B31,B1,Double,Attached,15500.00,male,Active
B31,B1,Double,Common,14500.00,male,Active
B31,B2,Double,Attached,15500.00,male,Active
B31,B2,Double,Common,14500.00,male,Active
B31,C1,Double,Attached,15500.00,male,Active
B31,C1,Double,Common,14500.00,male,Active
B31,C2,Double,Common,14500.00,male,Active
B31,C2,Double,Attached,15500.00,male,Active
B32,A1,Single,Attached,25500.00,male,Active
B32,A1,Single,Common,19500.00,male,Active
B32,B1,Double,Attached,15500.00,male,Active
B32,B1,Double,Common,14500.00,male,Active
B32,B2,Double,Common,14500.00,male,Active
B32,B2,Double,Attached,15500.00,male,Active
B32,C1,Double,Attached,15500.00,male,Active
B32,C1,Double,Common,14500.00,male,Active
B32,C2,Double,Common,14500.00,male,Active
B32,C2,Double,Attached,15500.00,male,Active
B33,A1,Single,Common,19500.00,male,Active
B33,A1,Single,Attached,25500.00,male,Active
B33,B1,Double,Common,14500.00,male,Active
B33,B1,Double,Attached,15500.00,male,Active
B33,B2,Double,Common,14500.00,male,Active
B33,B2,Double,Attached,15500.00,male,Active
B33,C1,Double,Attached,15500.00,male,Active
B33,C1,Double,Common,14500.00,male,Active
B33,C2,Double,Attached,15500.00,male,Active
B33,C2,Double,Common,14500.00,male,Active
B34,A1,Single,Common,19500.00,male,Active
B34,A1,Single,Attached,25500.00,male,Active
B34,B1,Double,Attached,15500.00,male,Active
B34,B1,Double,Common,14500.00,male,Active
B34,B2,Double,Attached,15500.00,male,Active
B34,B2,Double,Common,14500.00,male,Active
B34,C1,Double,Attached,15500.00,male,Active
B34,C1,Double,Common,14500.00,male,Active
B34,C2,Double,Attached,15500.00,male,Active
B34,C2,Double,Common,14500.00,male,Active
B41,A1,Single,Common,19500.00,male,Active
B41,A1,Single,Attached,25500.00,male,Active
B41,B1,Double,Common,14500.00,male,Active
B41,B1,Double,Attached,15500.00,male,Active
B41,B2,Double,Common,14500.00,male,Active
B41,B2,Double,Attached,15500.00,male,Active
B41,C1,Double,Common,14500.00,male,Active
B41,C1,Double,Attached,15500.00,male,Active
B41,C2,Double,Attached,15500.00,male,Active
B41,C2,Double,Common,14500.00,male,Active
B41,D1,Single,Attached,25500.00,male,Active
B41,D1,Single,Common,19500.00,male,Active
B42,A1,Single,Common,19500.00,male,Active
B42,A1,Single,Attached,25500.00,male,Active
B42,B1,Double,Common,14500.00,male,Active
B42,B1,Double,Attached,15500.00,male,Active
B42,B2,Double,Common,14500.00,male,Active
B42,B2,Double,Attached,15500.00,male,Active
B42,C1,Double,Attached,15500.00,male,Active
B42,C1,Double,Common,14500.00,male,Active
B42,C2,Double,Attached,15500.00,male,Active
B42,C2,Double,Common,14500.00,male,Active
B43,A1,Single,Attached,25500.00,female,Active
B43,A1,Single,Common,19500.00,female,Active
B43,B1,Double,Attached,15500.00,female,Active
B43,B1,Double,Common,14500.00,female,Active
B43,B2,Double,Common,14500.00,female,Active
B43,B2,Double,Attached,15500.00,female,Active
B43,C1,Double,Common,14500.00,female,Active
B43,C1,Double,Attached,15500.00,female,Active
B43,C2,Double,Common,14500.00,female,Active
B43,C2,Double,Attached,15500.00,female,Active
B44,A1,Single,Attached,25500.00,female,Active
B44,A1,Single,Common,19500.00,female,Active
B44,B1,Triple,Attached,13500.00,female,Active
B44,B2,Triple,Attached,13500.00,female,Active
B44,B3,Triple,Attached,13500.00,female,Active
B44,C1,Double,Common,14500.00,female,Active
B44,C1,Double,Attached,15500.00,female,Active
B44,C2,Double,Common,14500.00,female,Active
B44,C2,Double,Attached,15500.00,female,Active
C11,A1,Single,Common,19500.00,male,Active
C11,A1,Single,Attached,25500.00,male,Active
C11,B1,Double,Attached,15500.00,male,Active
