id,ticket_id,organization_id,performed_by,issue_type_id,questions_answers,ai_diagnosis,employee_override,status,created_at,completed_at
604d333f-2d8b-47f9-8640-592d3bbbbac2,6c91a465-4e6a-4e33-a064-54bbec48228c,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,e2aa2aaa-8af6-4807-9a4e-7665c5421eed,"[{""answer"":""Today"",""question"":""When did you first notice this issue?""},{""answer"":""Minor — can manage"",""question"":""How severe is the issue?""},{""answer"":""First time"",""question"":""Has this issue happened before?""},{""answer"":""Nothing, happened on its own"",""question"":""Did anything specific trigger this issue?""},{""answer"":""Only my room"",""question"":""Is the issue affecting other rooms or just yours?""}]","{""causes"":[{""cause"":""Delay in procurement/allotment of new furniture."",""severity"":""medium"",""solution"":""Follow up with the administration/purchasing department regarding the status of new furniture requests. Expedite the procurement process if possible or reallocate an available table."",""probability"":0.7,""estimatedCost"":""0 INR""},{""cause"":""Oversight or miscommunication in the maintenance request system."",""severity"":""medium"",""solution"":""Verify the status of the request in the maintenance system. Ensure the request was properly logged and communicated to the relevant personnel. Resubmit the request if necessary."",""probability"":0.2,""estimatedCost"":""0 INR""},{""cause"":""Budgetary constraints or lack of available resources."",""severity"":""low"",""solution"":""Assess the current budget for furniture and availability of resources. Explore temporary solutions or alternatives if new furniture procurement is not immediately feasible."",""probability"":0.1,""estimatedCost"":""0 INR""}],""summary"":""The resident has been waiting for a new table for 2-3 months without any action. The issue is minor and affects only their room. The delay is likely due to administrative reasons rather than a physical problem with existing furniture."",""urgency"":""medium"",""recommendedAction"":""Immediately investigate the status of the furniture request within the administration/maintenance system. Communicate with the resident regarding the status and expected resolution timeline, and aim to provide a new table as soon as possible.""}",null,completed,2026-04-09 11:31:29.132565+00,2026-04-09 11:31:27.923+00
74da343a-8a26-4e55-847e-a44780ab5a0e,d6a91c4a-bcda-4f95-83d1-a34ed7cf8e65,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,e2aa2aaa-8af6-4807-9a4e-7665c5421eed,"[{""answer"":""Today"",""question"":""When did you first notice this issue?""},{""answer"":""Minor — can manage"",""question"":""How severe is the issue?""},{""answer"":""Happens sometimes"",""question"":""Has this issue happened before?""},{""answer"":""After rain / weather change"",""question"":""Did anything specific trigger this issue?""},{""answer"":""Not sure"",""question"":""Is the issue affecting other rooms or just yours?""}]","{""causes"":[{""cause"":""Wood or frame deterioration due to moisture/weather changes"",""severity"":""medium"",""solution"":""Inspect the bed frame for signs of rot, warping, or weakening. If the damage is extensive, the bed frame might need to be replaced. For minor damage, a carpenter can reinforce the frame."",""probability"":0.6,""estimatedCost"":""INR 800 - 3000"",""requiredParts"":[{""name"":""Wood planks/reinforcement brackets"",""estimatedPrice"":""INR 300 - 1000""},{""name"":""Wood glue/screws"",""estimatedPrice"":""INR 50 - 200""}]},{""cause"":""Loose or broken joints/fittings"",""severity"":""medium"",""solution"":""Identify the loose or broken joints. Tighten screws, replace missing hardware, or use wood glue to secure the joints. If parts are broken, they might need professional repair or replacement."",""probability"":0.3,""estimatedCost"":""INR 400 - 1500"",""requiredParts"":[{""name"":""Screws/bolts/nuts"",""estimatedPrice"":""INR 50 - 200""},{""name"":""Wood glue"",""estimatedPrice"":""INR 50 - 150""},{""name"":""Replacement bed fittings (if necessary)"",""estimatedPrice"":""INR 200 - 800""}]},{""cause"":""Structural weakness from normal wear and tear"",""severity"":""low"",""solution"":""Reinforce the bed frame with additional supports or brackets. This can extend the life of the bed."",""probability"":0.1,""estimatedCost"":""INR 500 - 1000"",""requiredParts"":[{""name"":""Support brackets/additional wood supports"",""estimatedPrice"":""INR 200 - 600""},{""name"":""Screws"",""estimatedPrice"":""INR 50 - 100""}]}],""summary"":""The bed frame has likely deteriorated due to moisture/weather changes, or has loose/broken joints. It might also be suffering from general structural weakness."",""urgency"":""medium"",""recommendedAction"":""A carpenter should inspect the bed to determine the exact cause and perform the necessary repairs. Depending on the severity of the damage, the bed may need reinforcement, joint repair, or partial replacement of the frame components. If a quick fix is needed, try to identify loose screws and tighten them. Avoid putting too much weight on the bed until it is properly repaired.""}",null,completed,2026-04-09 12:17:51.145647+00,2026-04-09 12:17:50.466+00
a59f4f9a-d607-4b0f-87aa-b77b522fc32b,74d1e3cf-ee76-4d50-8896-05503b3b9e0f,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,47389994-b201-4bb1-bf91-8bce4dbde510,"[{""answer"":""A few days ago"",""question"":""When did you first notice this issue?""},{""answer"":""Moderate — inconvenient"",""question"":""How severe is the issue?""},{""answer"":""Happens sometimes"",""question"":""Has this issue happened before?""},{""answer"":""After rain / weather change"",""question"":""Did anything specific trigger this issue?""},{""answer"":""Not sure"",""question"":""Is the issue affecting other rooms or just yours?""}]","{""causes"":[{""cause"":""Wood expansion due to moisture from rain/weather changes, causing the door to jam."",""severity"":""medium"",""solution"":""Adjust the door within its frame or plane the edges to ensure smooth operation. Apply wood sealant or varnish to prevent future moisture absorption."",""probability"":0.6,""estimatedCost"":""INR 300 - 800""},{""cause"":""Misaligned latch or strike plate due to repeated use or loose screws."",""severity"":""medium"",""solution"":""Tighten screws on the latch and strike plate. If necessary, realign the strike plate or adjust the latch mechanism."",""probability"":0.25,""estimatedCost"":""INR 100 - 400""},{""cause"":""Worn-out or faulty lock mechanism."",""severity"":""medium"",""solution"":""Replace the entire lock mechanism. Consider a higher quality, weather-resistant lock if recurring issues are observed."",""probability"":0.15,""estimatedCost"":""INR 500 - 1500"",""requiredParts"":[{""name"":""New cupboard door lock"",""estimatedPrice"":""INR 300 - 1000""}]}],""summary"":""The cupboard door lock is jammed, likely due to wood expansion from recent rain or weather changes. This is a recurring issue, causing moderate inconvenience. The user also requests removal of the cupboard."",""urgency"":""medium"",""recommendedAction"":""First, attempt to adjust the cupboard door and lubricate the lock. If the issue persists, the lock mechanism may need repair or replacement. Address the user's request for cupboard removal if repair is not feasible or desired by the resident.""}",null,completed,2026-04-09 12:18:39.253079+00,2026-04-09 12:18:38.606+00
03333653-eb93-491c-bc15-f41164437cff,a02e92b4-4619-4b7b-87f5-d1fd8f77c22a,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,47389994-b201-4bb1-bf91-8bce4dbde510,"[{""answer"":""Today"",""question"":""When did you first notice this issue?""},{""answer"":""Minor — can manage"",""question"":""How severe is the issue?""},{""answer"":""Happens frequently"",""question"":""Has this issue happened before?""},{""answer"":""Not sure"",""question"":""Did anything specific trigger this issue?""},{""answer"":""Not sure"",""question"":""Is the issue affecting other rooms or just yours?""}]","{""causes"":[{""cause"":""Worn-out lock mechanism"",""severity"":""medium"",""solution"":""Replace the entire lock assembly."",""probability"":0.7,""estimatedCost"":""₹200-₹500"",""requiredParts"":[{""name"":""New cupboard lock"",""estimatedPrice"":""₹150-₹350""}]},{""cause"":""Misaligned door or frame"",""severity"":""low"",""solution"":""Adjust the hinges or realign the door to ensure proper closing."",""probability"":0.2,""estimatedCost"":""₹0-₹100""},{""cause"":""Loose screws in the lock or strike plate"",""severity"":""low"",""solution"":""Tighten all screws on the lock mechanism and strike plate."",""probability"":0.1,""estimatedCost"":""₹0""}],""summary"":""The cupboard door lock is jammed or not working properly. This is a frequent issue, suggesting wear and tear of the lock mechanism."",""urgency"":""medium"",""recommendedAction"":""Replace the cupboard lock as soon as possible to ensure proper functioning and security.""}",null,completed,2026-04-09 12:20:24.708168+00,2026-04-09 12:20:24.032+00
ed222178-4b81-4d79-8e68-1eeb5a26a30a,b78672bf-3a6d-43b0-a988-51a5ab493f3e,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,28158382-d5c1-436c-927b-3e3d9855c2af,"[{""answer"":""Some outlets / areas"",""question"":""Is the power out in the entire room or just some outlets?""},{""answer"":""Yes, it's on"",""question"":""Have you checked the MCB / circuit breaker?""},{""answer"":""Yes, others have power"",""question"":""Is there power in the common areas or other rooms?""},{""answer"":""Was flickering before going out"",""question"":""Did this happen suddenly or after plugging something in?""}]","{""causes"":[{""cause"":""Loose wiring or faulty connections in the fan circuit."",""severity"":""medium"",""solution"":""Inspect and tighten all wiring connections to the fan, regulator, and switch. If wiring is damaged, it may need to be replaced."",""probability"":0.4,""estimatedCost"":""₹200 - ₹500 (for electrician visit and minor wiring repair)"",""requiredParts"":[{""name"":""Electrical insulation tape"",""estimatedPrice"":""₹50""}]},{""cause"":""Damaged fan regulator."",""severity"":""medium"",""solution"":""Replace the damaged fan regulator with a new one. Ensure the new regulator is compatible with the fan."",""probability"":0.3,""estimatedCost"":""₹300 - ₹800 (for regulator and electrician visit)"",""requiredParts"":[{""name"":""Fan regulator"",""estimatedPrice"":""₹250 - ₹700 (depending on type and brand)""}]},{""cause"":""Faulty fan motor or capacitor."",""severity"":""high"",""solution"":""If the motor is faulty, it will need to be repaired or the fan replaced. If the capacitor is faulty, it can be replaced separately."",""probability"":0.2,""estimatedCost"":""₹500 - ₹2000 (for motor repair/replacement or capacitor replacement)"",""requiredParts"":[{""name"":""Fan capacitor"",""estimatedPrice"":""₹150 - ₹300""},{""name"":""Fan motor (if needed)"",""estimatedPrice"":""₹800 - ₹1500""}]},{""cause"":""Faulty wiring within the wall/ceiling."",""severity"":""high"",""solution"":""This requires an electrician to trace the wiring and repair or replace the damaged section. This can be more complex and may involve breaking into the wall/ceiling."",""probability"":0.1,""estimatedCost"":""₹1000 - ₹5000+ (depending on extent of damage and repair difficulty)"",""requiredParts"":[{""name"":""Electrical wire"",""estimatedPrice"":""₹50 - ₹100 per meter""}]}],""summary"":""The ceiling/wall fan in the hall is not working, and the room's regulator is damaged. Power is out in some outlets/areas, but the MCB is on and other rooms have power. The issue started after flickering."",""urgency"":""high"",""recommendedAction"":""Call a qualified electrician immediately to diagnose and fix the electrical issues. Do not attempt to repair complex electrical problems yourself.""}",null,completed,2026-04-09 12:21:02.988079+00,2026-04-09 12:21:02.341+00
9c06debf-6129-40c8-9374-4680ab819bf3,5247abe6-4cde-420c-886d-569651233596,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,d76dd3bd-ccb7-4991-a01f-ce158dfe908e,"[{""answer"":""Yesterday"",""question"":""When did you first notice this issue?""},{""answer"":""Moderate — inconvenient"",""question"":""How severe is the issue?""},{""answer"":""Happens sometimes"",""question"":""Has this issue happened before?""},{""answer"":""After rain / weather change"",""question"":""Did anything specific trigger this issue?""},{""answer"":""Not sure"",""question"":""Is the issue affecting other rooms or just yours?""}]","{""causes"":[{""cause"":""Mineral buildup in showerhead"",""severity"":""medium"",""solution"":""Clean or replace showerhead."",""probability"":0.4,""estimatedCost"":""INR 200-500"",""requiredParts"":[{""name"":""New showerhead (if cleaning fails)"",""estimatedPrice"":""INR 300-800""}]},{""cause"":""Partially closed or faulty shut-off valve"",""severity"":""medium"",""solution"":""Check and fully open the shut-off valve. If faulty, replace it."",""probability"":0.25,""estimatedCost"":""INR 500-1500"",""requiredParts"":[{""name"":""New shut-off valve (if replacement needed)"",""estimatedPrice"":""INR 200-700""}]},{""cause"":""Issue with the water heater or pressure regulator"",""severity"":""high"",""solution"":""Inspect and troubleshoot the water heater and pressure regulator. Professional help might be required."",""probability"":0.2,""estimatedCost"":""INR 1000-5000+"",""requiredParts"":[{""name"":""Water heater parts or pressure regulator (if replacement needed)"",""estimatedPrice"":""Varies""}]},{""cause"":""Clog in the plumbing pipes"",""severity"":""high"",""solution"":""Clear the clog. This might require professional plumbing services."",""probability"":0.1,""estimatedCost"":""INR 800-3000+"",""requiredParts"":[]},{""cause"":""External water supply issue (e.g., municipal water pressure drop, especially after rain/weather change)"",""severity"":""low"",""solution"":""Monitor water pressure over time. Contact local water authority if the problem persists and affects other units/areas."",""probability"":0.05,""estimatedCost"":""INR 0 (unless private booster pump installation is considered)"",""requiredParts"":[]}],""summary"":""The low water pressure in the common bathroom shower head, first noticed yesterday, is likely due to mineral buildup. Other possibilities include a faulty shut-off valve, water heater issues, or a clog in the pipes. External water supply issues are less likely but possible, especially given the mention of rain/weather changes."",""urgency"":""medium"",""recommendedAction"":""Start by cleaning the showerhead. If that doesn't resolve the issue, check the shut-off valve for the shower. If the problem persists, further investigation into the water heater, pressure regulator, or potential pipe clogs may be necessary. Consider checking if other taps or showers in the PG/hostel are also experiencing low pressure to help narrow down the cause.""}",null,completed,2026-04-09 12:22:02.046763+00,2026-04-09 12:22:01.23+00
b100f3c2-3111-446f-8d5e-0bcd14b94b88,736faf3e-7bf6-46af-9b45-541ac5062166,00000000-0000-0000-0000-000000000001,8c42685b-f2df-4dec-96bd-0e77b715e33e,c5f1c3c0-af88-4c54-9730-ebffed128bc9,"[{""answer"":""Today"",""question"":""When did you first notice this issue?""},{""answer"":""Moderate — inconvenient"",""question"":""How severe is the issue?""},{""answer"":""Happens sometimes"",""question"":""Has this issue happened before?""},{""answer"":""After using something"",""question"":""Did anything specific trigger this issue?""},{""answer"":""Not sure"",""question"":""Is the issue affecting other rooms or just yours?""}]","{""causes"":[{""cause"":""Induction cooker power cord loose or damaged."",""severity"":""medium"",""solution"":""Check the power cord for any visible damage and ensure it's securely plugged into both the induction cooker and the power outlet. If damaged, replace the cord."",""probability"":0.4,""estimatedCost"":""INR 300 - 800"",""requiredParts"":[{""name"":""New power cord (if damaged)"",""estimatedPrice"":""INR 200 - 700""}]},{""cause"":""Overheated induction cooker."",""severity"":""medium"",""solution"":""Allow the induction cooker to cool down for at least 30 minutes. Ensure proper ventilation around the cooker during use to prevent overheating."",""probability"":0.3,""estimatedCost"":""INR 0""},{""cause"":""Faulty power outlet or circuit breaker tripped."",""severity"":""medium"",""solution"":""Test the power outlet with another appliance to confirm it's working. If not, check the circuit breaker for your kitchen and reset it if tripped. If the outlet remains faulty, an electrician will be needed."",""probability"":0.2,""estimatedCost"":""INR 0 (for circuit breaker reset) - INR 500 (electrician visit)"",""requiredParts"":[{""name"":""Circuit breaker (if replacement needed)"",""estimatedPrice"":""INR 300 - 1000""}]},{""cause"":""Internal fault in the induction cooker."",""severity"":""high"",""solution"":""If none of the above solutions work, the induction cooker likely has an internal fault and will require professional repair or replacement. Contact a service technician."",""probability"":0.1,""estimatedCost"":""INR 1000 - 3000 (repair) or INR 2000 - 10000 (replacement)""}],""summary"":""The induction cooker in the kitchen is not turning on. This is a moderate inconvenience that happens occasionally, particularly after prolonged use."",""urgency"":""medium"",""recommendedAction"":""First, check the power connections and allow the unit to cool down. If the issue persists, inspect the power outlet. If all basic checks fail, professional inspection or replacement of the induction cooker will be necessary.""}",null,completed,2026-04-09 12:28:33.114446+00,2026-04-09 12:28:32.308+00
4ab46a3a-6442-4c8e-b992-2302fe62ebce,3714a311-a5b5-46ed-9868-1b383c55906d,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,01208ba1-4225-4a61-be39-3afe03dad690,"[{""answer"":""Today"",""question"":""When did you first notice this issue?""},{""answer"":""Minor — can manage"",""question"":""How severe is the issue?""},{""answer"":""First time"",""question"":""Has this issue happened before?""},{""answer"":""Nothing, happened on its own"",""question"":""Did anything specific trigger this issue?""},{""answer"":""Only my room"",""question"":""Is the issue affecting other rooms or just yours?""}]","{""causes"":[{""cause"":""No water supply to the RO machine."",""severity"":""high"",""solution"":""Check the main water supply valve to the RO machine and ensure it is open. Also, check for any general water supply issues in the building."",""probability"":0.4,""estimatedCost"":""0 INR""},{""cause"":""Clogged filters."",""severity"":""medium"",""solution"":""The pre-filters (sediment and carbon) might be clogged, restricting water flow. These need to be replaced."",""probability"":0.3,""estimatedCost"":""500-1000 INR"",""requiredParts"":[{""name"":""Sediment Filter"",""estimatedPrice"":""200-400 INR""},{""name"":""Carbon Filter"",""estimatedPrice"":""300-600 INR""}]},{""cause"":""Faulty shut-off valve."",""severity"":""medium"",""solution"":""The automatic shut-off valve (ASO valve) might be faulty, preventing water from entering the RO membrane. This may need replacement."",""probability"":0.15,""estimatedCost"":""300-700 INR"",""requiredParts"":[{""name"":""RO Automatic Shut-off Valve"",""estimatedPrice"":""300-700 INR""}]},{""cause"":""Pressure issues (low water pressure)."",""severity"":""medium"",""solution"":""Insufficient water pressure entering the RO system can prevent it from dispensing water. Check the water pressure from the tap feeding the RO. A booster pump might be required if pressure is consistently low."",""probability"":0.1,""estimatedCost"":""0-3000 INR (if booster pump is needed)"",""requiredParts"":[{""name"":""RO Booster Pump"",""estimatedPrice"":""2000-3000 INR (if needed)""}]},{""cause"":""Faulty RO membrane."",""severity"":""high"",""solution"":""While less likely to cause a complete stoppage of water, a severely clogged or damaged RO membrane can drastically reduce water output. This would require membrane replacement."",""probability"":0.05,""estimatedCost"":""800-1500 INR"",""requiredParts"":[{""name"":""RO Membrane"",""estimatedPrice"":""800-1500 INR""}]}],""summary"":""The RO machine in your room is not dispensing any water. This is a first-time issue and is only affecting your room. The severity is currently minor, but it needs attention."",""urgency"":""medium"",""recommendedAction"":""Firstly, check the basic water supply to the RO machine. If the problem persists, the filters are the next most likely culprit and should be inspected/replaced. Depending on the outcome, further investigation into the shut-off valve, water pressure, or RO membrane may be necessary. It's recommended to call a technician if the basic checks and filter changes don't resolve the issue.""}",null,completed,2026-04-10 04:22:54.740814+00,2026-04-10 04:22:53.648+00
b9db8f3e-e029-480a-b7a1-94114ff8a216,273cfd52-9861-4f44-9271-39952f4c6a35,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,abc84f5b-a950-406e-ab46-cefbe11df925,"[{""answer"":""Floor / sweeping"",""question"":""What needs cleaning?""},{""answer"":""Today but not proper"",""question"":""When was the last cleaning done?""},{""answer"":""One-time"",""question"":""Is this a one-time request or recurring issue?""}]","{""causes"":[{""cause"":""Improper waste management and food disposal attracting cockroaches."",""severity"":""high"",""solution"":""Implement stringent waste management protocols. Ensure food is stored in airtight containers and regularly dispose of trash."",""probability"":0.4,""estimatedCost"":""INR 500 - 1000"",""requiredParts"":[{""name"":""Airtight food containers"",""estimatedPrice"":""INR 300-700""},{""name"":""Lidded trash cans"",""estimatedPrice"":""INR 200-300""}]},{""cause"":""Presence of food debris and grease on kitchen surfaces and floor due to inadequate cleaning."",""severity"":""high"",""solution"":""Daily deep cleaning of kitchen floor, countertops, and appliances. Focus on removing food particles and grease."",""probability"":0.3,""estimatedCost"":""INR 300 - 600"",""requiredParts"":[{""name"":""Degreaser/kitchen cleaner"",""estimatedPrice"":""INR 150-250""},{""name"":""Mop and bucket"",""estimatedPrice"":""INR 150-350""}]},{""cause"":""Cracks and crevices in walls or flooring providing harborage for cockroaches."",""severity"":""medium"",""solution"":""Inspect and seal all cracks and crevices in the kitchen area with appropriate fillers. This eliminates hiding spots."",""probability"":0.2,""estimatedCost"":""INR 200 - 500"",""requiredParts"":[{""name"":""Wall crack filler/sealant"",""estimatedPrice"":""INR 100-300""}]},{""cause"":""Infestation source from external areas or entry points."",""severity"":""medium"",""solution"":""Identify and seal potential entry points like gaps around pipes, windows, and doors. Consider professional pest control if the issue persists after implementing other solutions."",""probability"":0.1,""estimatedCost"":""INR 1500 - 3000 (for professional pest control)"",""requiredParts"":[{""name"":""Pest control sealant"",""estimatedPrice"":""INR 200-400""}]}],""summary"":""The cockroach infestation in the kitchen is likely due to a combination of improper waste management, inadequate cleaning leaving food debris, and potential harborage in cracks. Immediate action is needed to eliminate the existing infestation and prevent recurrence."",""urgency"":""high"",""recommendedAction"":""Implement a comprehensive cleaning and sanitation plan for the kitchen, focusing on waste disposal, deep cleaning, and sealing potential entry points. Monitor the situation closely, and consider professional pest control if the infestation remains severe.""}",null,completed,2026-04-10 04:26:03.603341+00,2026-04-10 04:26:02.498+00
473ef603-446a-4fd8-a274-df67dfa2637e,62ec3e07-d588-4248-a406-54abbe7097eb,00000000-0000-0000-0000-000000000001,bd081ad6-5fe3-4c1d-a919-81b1055efa19,a5831922-eaeb-48c2-941c-fd96fae8813d,"[{""answer"":""Yes"",""question"":""Is the AC turning on when you press the power button?""},{""answer"":""Yes, but very weak"",""question"":""Is air coming out from the AC vents?""},{""answer"":""Within last month"",""question"":""When was the AC filter last cleaned?""},{""answer"":""Yes"",""question"":""Is there any water leaking from the AC?""},{""answer"":""Yes"",""question"":""Is the remote control working properly?""}]","{""causes"":[{""cause"":""Clogged AC drain line"",""severity"":""medium"",""solution"":""Clear the drain line using a wet/dry vacuum or a snake. This can often be done by the owner or a local handyman."",""probability"":0.4,""estimatedCost"":""INR 300 - 800"",""requiredParts"":[{""name"":""Wet/dry vacuum or drain snake"",""estimatedPrice"":""INR 500 - 2000""}]},{""cause"":""Low refrigerant levels due to a leak"",""severity"":""high"",""solution"":""A professional AC technician needs to detect and repair the leak, then recharge the refrigerant. This is critical for the AC's main function."",""probability"":0.3,""estimatedCost"":""INR 2500 - 6000"",""requiredParts"":[{""name"":""Refrigerant"",""estimatedPrice"":""INR 1500 - 3000""},{""name"":""Leak sealant/repair kit"",""estimatedPrice"":""INR 500 - 1500""}]},{""cause"":""Evaporator coil frozen"",""severity"":""high"",""solution"":""Turn off the AC and let the coil thaw. Check for restricted airflow (dirty filters, blocked vents) or low refrigerant as contributing factors. A professional might be needed if it re-freezes after cleaning."",""probability"":0.2,""estimatedCost"":""INR 0 (if self-resolved after thawing and cleaning) to INR 1500 (for professional inspection)"",""requiredParts"":[]},{""cause"":""Dirty air filter and evaporator coil"",""severity"":""medium"",""solution"":""Even though you cleaned it last month, a very dirty filter or coil can lead to reduced airflow and freezing. Clean or replace the filter again and inspect the evaporator coil for dirt build-up."",""probability"":0.1,""estimatedCost"":""INR 200 - 500 (for new filter if needed)"",""requiredParts"":[{""name"":""New AC filter (if needed)"",""estimatedPrice"":""INR 200 - 500""}]}],""summary"":""The most likely cause for your AC running but not cooling and leaking water is a clogged drain line, followed by low refrigerant levels or a frozen evaporator coil. A dirty air filter or evaporator coil, while you cleaned it recently, can still be a contributing factor to reduced airflow and freezing."",""urgency"":""high"",""recommendedAction"":""First, turn off the AC to prevent further damage and allow any ice on the evaporator coil to melt. Then, inspect and attempt to clear the drain line. If this doesn't resolve the issue, it is highly recommended to contact a professional AC technician to check for refrigerant leaks and address any deeper issues with the evaporator coil or other components to avoid costly damage or replacement in the long run. Since reduced airflow and water leakage can signify multiple issues, prompt professional attention is recommended if basic troubleshooting doesn't work. Before calling a technician, ensure the AC filter is clean and there are no obstructions to airflow.""}",null,completed,2026-04-10 08:05:36.562562+00,2026-04-10 08:05:35.35+00
