id,invoice_id,line_type,description,amount,created_at,metadata,organization_id
e05db325-f570-45c8-b77b-bef1c38d634e,fce0dd71-ff55-4d41-93b7-ab538e495206,rent,rent,4500,2026-07-22 10:43:59.269533+00,{},00000000-0000-0000-0000-000000000001
e2d10e94-a9c2-429a-acc0-324b83836a7d,5046d523-dd64-41d2-80e9-d8160c921874,rent,rent,4500,2026-07-22 10:43:45.580819+00,{},00000000-0000-0000-0000-000000000001
c5a8cf7d-f34d-4570-8984-7f5d3297d932,a481788a-262a-48f8-a4ce-a04ab0e86c9c,rent,rent,10290,2026-07-22 10:40:17.738879+00,{},00000000-0000-0000-0000-000000000001
dc2d96d5-fe4a-411a-93df-b1d78d4b229c,eb1fcd9c-431e-449a-8f2f-19d6d1712afb,rent,rent,10290,2026-07-22 10:39:59.256137+00,{},00000000-0000-0000-0000-000000000001
e367d408-7b41-49de-afdb-a02347a33f2a,07118777-1f0e-487d-87bb-3d7738489ec6,electricity,Actual EB — C31 until room switch,1148,2026-07-22 10:09:49.442676+00,{},00000000-0000-0000-0000-000000000001
ba8d83ad-d902-4cca-a506-71f6f5b0d76f,3d6eaf4b-016e-41a1-b565-ae73a779baea,electricity,Actual EB — C31 until room switch,1148,2026-07-22 10:09:32.901554+00,{},00000000-0000-0000-0000-000000000001
88a3dc83-deaa-40ef-9bbd-5af1a8856e50,b1786963-d56b-4d3e-b2a0-56fe0a5cd973,electricity,Actual EB — Old apartment until room switch,717,2026-07-22 07:26:51.582562+00,{},00000000-0000-0000-0000-000000000001
c1f3490b-4754-4fae-bc18-9182c02a2335,7403d520-6986-4601-8865-e9ea574393d6,rent,Rent Adjustment — Room upgrade for 10 days,1291,2026-07-22 07:26:51.365448+00,"{""premium"":0,""bed_rate"":19500,""discount"":0,""new_rent"":19500,""old_rent"":15500,""stay_days"":10,""per_day_rent"":129.03225806451613,""days_in_month"":31,""effective_rate"":19500,""remaining_days"":10,""total_days_in_month"":31}",00000000-0000-0000-0000-000000000001
294e2a0b-4564-41d6-827e-2983e66304fe,380f2aec-7072-48a5-8b6b-ec98b35be06c,electricity,electricity,1530,2026-07-22 07:11:48.538425+00,{},00000000-0000-0000-0000-000000000001
f511926f-57c0-40a8-826b-3e2b4065026e,380f2aec-7072-48a5-8b6b-ec98b35be06c,exit_charges,exit_charges,2250,2026-07-22 07:11:48.538425+00,{},00000000-0000-0000-0000-000000000001
