id,organization_id,maintenance_item_id,quantity_received,quantity_available,purchase_cost_per_unit,vendor_name,invoice_number,purchased_on,remarks,created_by,created_at
1e6216eb-f028-461c-b765-fae00b2c5a81,00000000-0000-0000-0000-000000000001,e781fc37-3a87-4ea6-b3ea-e7bb299b5dd8,1,1,350,Om Serma Enterprises,123,2026-04-21 00:00:00+00,null,f6623646-3abe-4faf-bff7-684ea1f04e96,2026-04-22 17:55:31.904743+00
7e7384ff-dbdd-4cad-9e0e-1ffdcdf69bae,00000000-0000-0000-0000-000000000001,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,1,0,500,test,null,2026-04-24 11:23:05.557+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-24 11:23:07.029261+00
e509ec5f-c8d7-4ff1-af33-c771c898db66,00000000-0000-0000-0000-000000000001,104c409f-72c3-4569-9f20-250a07c28f27,1,0,8001500,null,null,2026-04-24 13:07:58.434+00,Purchased for ticket resolution,e4897d45-cba7-4d8a-ade0-d6014ccba68d,2026-04-24 13:07:58.886524+00
8751c0f4-d262-4a8f-8288-ce9b00a9be3f,00000000-0000-0000-0000-000000000001,2c334f29-895e-4c3b-a26a-b68cc4ec9f39,1,0,300,null,null,2026-04-24 13:15:00.538+00,Purchased for ticket resolution,e4897d45-cba7-4d8a-ade0-d6014ccba68d,2026-04-24 13:15:00.791642+00
47867016-f070-4558-b39f-1a619b71de39,00000000-0000-0000-0000-000000000001,2c334f29-895e-4c3b-a26a-b68cc4ec9f39,1,0,300,null,null,2026-04-24 13:24:40.07+00,Purchased for ticket resolution,e4897d45-cba7-4d8a-ade0-d6014ccba68d,2026-04-24 13:24:40.157574+00
ae2c047e-38b3-4615-9c6d-1e04f30cbd72,00000000-0000-0000-0000-000000000001,88cf5349-74f4-4ebb-9d19-0cfc011d3bd8,1,0,8001500,null,null,2026-04-25 13:55:10.615+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-25 13:55:11.300803+00
a9c9303c-f514-46b8-a25c-e844c75ad9c9,00000000-0000-0000-0000-000000000001,7ea7fca2-f0bb-45da-9c16-464fbfa7ac57,1,0,200400,null,null,2026-04-25 13:55:11.036+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-25 13:55:11.608557+00
18b85671-907b-42c0-972c-51d70a056018,00000000-0000-0000-0000-000000000001,88dc5cc6-7338-402b-a444-4891ea25f01e,1,0,200400,null,null,2026-04-25 13:55:11.356+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-25 13:55:11.951728+00
697d1117-8e14-4633-8450-beb0f14c8f18,00000000-0000-0000-0000-000000000001,6ce2a34f-3500-40a1-9a52-aac4ae5e2281,1,0,19,test,dfdfsdf,2026-04-27 12:34:50.514+00,Purchased for ticket resolution,8c42685b-f2df-4dec-96bd-0e77b715e33e,2026-04-27 12:34:52.37344+00
c058bb44-a3b4-429c-84de-efa14d2f1b73,00000000-0000-0000-0000-000000000001,e6804bcb-eaeb-4b2d-adce-ce0eb9721358,1,0,300,null,null,2026-04-28 09:54:28.542+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-28 09:54:30.484133+00
98e495d9-7ded-42ec-89fd-7f9fb3bba704,00000000-0000-0000-0000-000000000001,e6804bcb-eaeb-4b2d-adce-ce0eb9721358,1,0,300,null,null,2026-04-28 10:00:27.337+00,Purchased for ticket resolution,54acafd0-4c07-4bbf-97ee-b4760389c991,2026-04-28 10:00:29.203667+00
7e125441-7dbc-45f8-8a83-31c6e3353e62,00000000-0000-0000-0000-000000000001,3b9fb2fb-d5f2-434f-ac07-966cf5e7e069,1,0,800,null,null,2026-04-28 10:20:56.053+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-28 10:20:57.986368+00
20294919-15b7-4fb6-8c0a-576492c71f49,00000000-0000-0000-0000-000000000001,3b9fb2fb-d5f2-434f-ac07-966cf5e7e069,1,0,800,null,null,2026-04-28 10:21:09.903+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-28 10:21:11.824677+00
b67d10e9-0f53-458a-86e7-ca285c82acf7,00000000-0000-0000-0000-000000000001,6224027b-f704-4462-970a-68aa3396b9ee,1,0,855,null,null,2026-04-29 12:43:06.27+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-04-29 12:43:08.591561+00
9a8197a4-4ef7-474f-bf6b-98b4e326f0de,00000000-0000-0000-0000-000000000001,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,1,0,300800,null,null,2026-05-01 07:04:28.005+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-01 07:04:29.611199+00
e76d532e-4171-4489-98e5-0c2aa426c056,00000000-0000-0000-0000-000000000001,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,1,0,300800,null,null,2026-05-01 07:04:43.421+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-01 07:04:44.896994+00
865be09d-ccf4-488e-aeb5-750fe90fdf90,00000000-0000-0000-0000-000000000001,4a51368b-5efa-4531-881a-e60e893e75b0,1,0,5001500,null,null,2026-05-12 04:59:36.29+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-12 04:59:38.125799+00
fc42e0ec-cc29-4376-9b53-a9897d69e309,00000000-0000-0000-0000-000000000001,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,1,0,300700,null,null,2026-05-20 13:57:43.078+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-20 13:57:43.359714+00
b12fc443-8d9a-40ba-97ce-66a399f8d20e,00000000-0000-0000-0000-000000000001,80dc7bfc-2b8f-459b-86fa-76ff57c6ba8c,1,0,300700,null,null,2026-05-20 13:57:52.908+00,Purchased for ticket resolution,bd081ad6-5fe3-4c1d-a919-81b1055efa19,2026-05-20 13:57:53.141986+00
