id,organization_id,name,created_at
57b593d5-8e4b-4c91-9ea4-69835f4b1bcc,00000000-0000-0000-0000-000000000001,Electronics,2026-03-16 17:36:58.873783+00
d55fb531-8d00-489b-9562-378e9af971f7,00000000-0000-0000-0000-000000000001,Fixtures & Fittings,2026-03-16 17:36:58.873783+00
3ce55edd-3d30-be21-652a-cb3bc02eb24d,00000000-0000-0000-0000-000000000001,Housekeeping / Utility,2026-03-16 17:36:58.873783+00
7c868fae-5969-1e68-f917-03f0291146c3,00000000-0000-0000-0000-000000000001,Maintenance / Hardware,2026-03-16 17:36:58.873783+00
a1000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000001,Appliances,2026-04-08 17:42:38.607307+00
a1000000-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000001,Furniture,2026-04-08 17:42:38.607307+00
a1000000-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000001,Electrical Systems,2026-04-08 17:42:38.607307+00
a1000000-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000001,Soft Furnishing,2026-04-08 17:42:38.607307+00
a1000000-0000-0000-0000-000000000005,00000000-0000-0000-0000-000000000001,Kitchen & Dining,2026-04-08 17:42:38.607307+00
62a2d55f-ecf0-450d-93f1-0a260c0401a4,00000000-0000-0000-0000-000000000001,Toilet,2026-04-18 18:02:49.490416+00
96462059-c058-4f0a-98fa-dfaf85b80997,00000000-0000-0000-0000-000000000001,Others,2026-04-22 23:35:03.161901+00
