asset_id,asset_type,purchase_date,asset_age_days,total_tickets,distinct_issue_types,repeat_issue_count,max_same_issue_repeats,avg_resolution_hours,median_resolution_hours,costed_ticket_count,total_cost,avg_cost,expected_cost_gap,last_ticket_date,tickets_per_month,mapping_confidence_summary
fd1af9e3-4206-4c49-83bb-d64ddf1b56d1,Air Conditioner,,,14,1,13,14,,,0,0.0,,,,14.0,High:14
572c3a43-35ae-48cc-941e-77484386f1bd,Air Conditioner,,,10,1,9,10,3.84,3.84,0,0.0,,,2026-07-18 07:24:06.651392,10.0,High:9|Verified:1
99d778f7-c033-4e7f-b205-35213a9877d6,Air Conditioner,,,9,2,7,8,36.14,36.14,0,0.0,,,2026-07-11 06:33:28.131429,2.854,High:6|Verified:3
9d1e311a-cb0a-4ed0-a1a5-54bafa0ca837,Fan,,,9,1,8,9,6.42,6.42,0,0.0,,,2026-04-22 02:00:05.426117,9.0,High:9
71701352-6d07-4b20-b6f7-7b70117dd5a3,Air Conditioner,,,8,1,7,8,5.15,5.15,0,0.0,,,2026-07-18 06:03:00.920808,8.0,High:7|Verified:1
d4f2ff34-b56c-4fa6-bdb2-fabb4d39c447,Air Conditioner,,,8,1,7,8,72.04,38.6,0,0.0,,,2026-07-09 22:54:41.025018,8.0,High:5|Verified:3
1f66dc02-27aa-4363-bd97-2df70371ebb0,Air Conditioner,,,7,1,6,7,174.69,137.85,0,0.0,,,2026-07-01 08:43:15.937928,3.228,High:4|Verified:3
58cb2e24-2d02-4c94-acad-fe4c2afaa878,Fan,,,6,1,5,6,,,0,0.0,,,,6.0,High:6
d9a2ce08-6abd-43c3-bbf2-33b0c187a3b5,Air Conditioner,,,6,1,5,6,23.55,23.55,0,0.0,,,2026-05-24 02:41:33.139085,6.0,High:4|Verified:2
40273ebc-52da-4130-82f8-a28b466d4adc,Air Conditioner,,,5,1,4,5,190.77,19.78,0,0.0,,,2026-05-27 14:34:11.333624,5.0,Verified:3|High:2
0e9127c1-dd69-4c46-9126-a605af00881c,Fan,,,5,1,4,5,1204.07,1204.07,0,0.0,,,2026-06-08 06:35:24.827841,5.0,High:4|Verified:1
3efce5d2-b6c1-424a-9491-52000cca55c5,Air Conditioner,,,5,1,4,5,36.66,43.24,0,0.0,,,2026-07-11 08:06:46.957208,3.238,Verified:3|High:2
d6b0afc8-bfb7-42fb-8a6f-f026ee1a26e1,Air Conditioner,,,5,1,4,5,13.98,13.98,0,0.0,,,2026-07-13 08:21:52.079800,2.718,High:3|Verified:2
aa6f4ce6-e2ac-44f0-917b-0f04f9a1896f,Air Conditioner,,,5,1,4,5,83.82,65.33,0,0.0,,,2026-07-11 10:55:35.569730,3.106,Verified:3|High:2
9a617a18-45e3-4139-8e9b-4babbc1c20eb,Air Conditioner,,,5,1,4,5,125.02,125.02,0,0.0,,,2026-06-07 08:09:57.888428,5.0,High:3|Verified:2
bb236be0-2a55-43fa-b798-b41eb5132d2d,Air Conditioner,,,5,1,4,5,26.08,26.08,0,0.0,,,2026-05-25 16:06:22.299960,5.0,High:4|Verified:1
5113f32c-70bb-4e71-9b7f-f7160c4ecb3e,Air Conditioner,,,5,1,4,5,177.25,146.33,0,0.0,,,2026-06-30 19:19:46.863863,5.0,Verified:5
1fac099b-4e9f-4260-bfa2-9ecdd23b97fb,RO Water Purifier,2023-08-30,1071.0,5,1,4,5,23.48,27.41,1,1180.0,1180.0,880.0,2026-06-18 06:35:12.399770,5.0,Verified:5
13d9d678-a406-41b2-853d-8628a9ce5b31,Air Conditioner,,,5,1,4,5,213.46,213.46,0,0.0,,,2026-07-01 08:21:43.283710,5.0,High:3|Verified:2
3466151e-b985-4928-a03b-037084dcf9ae,Fan,,,4,1,3,4,22.11,22.11,0,0.0,,,2026-05-24 15:10:59.479407,2.647,High:2|Verified:2
1ac33845-439e-4379-ba39-8f2c952e8873,Air Conditioner,,,4,1,3,4,19.4,19.4,0,0.0,,,2026-05-21 15:10:30.107053,4.0,High:3|Verified:1
38024f17-c961-4963-a0ed-d681e192a3f6,Air Conditioner,,,4,1,3,4,,,0,0.0,,,2026-07-20 09:29:51.350247,4.0,High:3|Verified:1
3f41cc65-e037-4c1e-863a-cc49813984d6,Air Conditioner,,,4,1,3,4,,,0,0.0,,,,4.0,High:4
03f8aa98-9864-42fd-921e-06eddab47e98,Air Conditioner,,,4,1,3,4,338.86,338.86,0,0.0,,,2026-07-09 11:13:06.143415,1.623,High:2|Verified:2
ab789334-fbcd-43c7-bee0-ff6a046cfaab,Fan,,,4,1,3,4,28.54,28.54,0,0.0,,,2026-05-11 11:33:45.301202,4.0,High:4
98885f45-4010-403c-8884-8649d4cdd02a,RO Water Purifier,2023-03-30,1224.0,4,1,3,4,109.21,109.21,1,3400.0,3400.0,3100.0,2026-07-14 21:02:28.348614,4.0,Verified:4
b0bccede-ab77-4d9a-8dc5-2bdcaf8624f4,Fan,,,4,1,3,4,17.31,17.31,0,0.0,,,2026-07-12 18:19:34.594034,4.0,High:3|Verified:1
a01fdc02-1311-43b4-828c-ae25f1158139,Air Conditioner,,,4,1,3,4,19.31,19.31,0,0.0,,,2026-05-21 15:12:58.224955,4.0,High:3|Verified:1
0861776d-2243-4e50-815b-7d79e5acdd51,Air Conditioner,,,4,1,3,4,23.45,23.45,0,0.0,,,2026-04-02 10:09:35.167950,4.0,High:3|Verified:1
14d27fc6-b43f-420e-9cc7-29bec3989775,Fan,,,4,1,3,4,14.62,5.4,1,1120.0,1120.0,820.0,2026-07-22 06:38:08.350352,4.0,Verified:3|High:1
690f675a-c094-4d91-98ac-96d339f5ef64,Air Conditioner,,,3,1,2,3,,,0,0.0,,,,3.0,High:3
3cd43d6f-933d-4917-9b7d-296ae90d9d4f,Fan,,,3,1,2,3,40.22,40.22,0,0.0,,,2026-06-24 08:26:20.119803,2.468,Verified:2|High:1
6b3439e1-ce82-479e-9781-e9a2b893b664,Water Heater,,,3,2,1,2,35.18,24.78,0,0.0,,,2026-07-08 10:47:17.299538,3.0,Verified:3
87f1cde5-cc89-4a84-83a1-d3f92094f0f8,Washing Machine,,,3,1,2,3,56.0,41.05,0,0.0,,,2026-06-28 15:43:24.784149,3.0,Verified:3
bc7caf2c-ad7b-403a-9681-01e3c22c291f,Air Conditioner,,,3,1,2,3,77.42,77.42,0,0.0,,,2026-06-28 15:03:21.985185,1.087,Verified:2|High:1
c79df700-6e0b-4d5e-b431-d855a7d266d1,Fan,,,3,1,2,3,33.0,18.36,0,0.0,,,2026-06-12 17:44:19.909776,1.691,Verified:3
dccbf35d-537d-48ac-92d9-d1d792755a15,Water Heater,,,3,2,1,2,27.54,27.54,0,0.0,,,2026-06-03 06:52:14.662375,3.0,Verified:3
ad75c377-9acf-491b-a138-6bf57009111c,Air Conditioner,,,3,1,2,3,283.11,283.11,0,0.0,,,2026-07-13 17:18:43.175184,1.66,Verified:2|High:1
7a8faef7-aab4-43c5-bf03-b4a1561577db,Fan,,,3,1,2,3,,,0,0.0,,,,3.0,High:3
b40ecc8b-216d-40e6-93a8-ca852ecd0b88,Air Conditioner,,,3,1,2,3,,,0,0.0,,,,3.0,High:3
471a77c8-6159-471b-a7b3-910527eb1e9c,Air Conditioner,,,3,1,2,3,,,0,0.0,,,2026-07-23 07:56:05.618471,3.0,High:2|Verified:1
61507e8e-6567-48b7-b838-3e16c2397da7,Air Conditioner,,,3,1,2,3,1152.63,1152.63,0,0.0,,,2026-04-22 05:17:16.579605,3.0,High:2|Verified:1
3005c67a-dd3b-4a53-a457-4b155602758d,Fan,,,3,2,1,2,112.74,112.74,0,0.0,,,2026-05-29 13:25:00.927149,3.0,High:2|Verified:1
1ecc31a0-bd06-47cd-97d6-08a6fc66b684,Air Conditioner,,,3,2,1,2,462.3,462.3,0,0.0,,,2026-06-28 00:22:09.718234,1.602,Verified:3
60e6badc-68a9-4456-b05b-c745c0e14502,Air Conditioner,,,3,1,2,3,137.69,137.69,0,0.0,,,2026-07-06 15:47:31.544659,2.609,Verified:2|High:1
147c451f-29c0-4333-a9e7-a73d1cdb9a1b,Air Conditioner,,,3,1,2,3,22.85,22.85,0,0.0,,,2026-05-14 12:00:43.026934,3.0,High:2|Verified:1
dc1020be-24a1-4aba-a4bc-ba16db1478b7,Fan,,,3,1,2,3,51.72,51.72,0,0.0,,,2026-07-22 18:05:39.993829,3.0,Verified:2|High:1
625b07e7-083b-4c9d-b00b-203844544ea3,Air Conditioner,,,2,1,1,2,,,0,0.0,,,,2.0,High:2
1d636b41-0f27-48db-b70c-63414832c405,Cupboard,,,2,2,0,1,35.5,35.5,0,0.0,,,2026-06-19 14:59:38.194538,1.015,Verified:2
19232b9f-c4c0-41b7-a655-830705dd9c3b,Air Conditioner,,,2,1,1,2,,,0,0.0,,,,2.0,High:2
2bbe28a7-9d1b-4ef1-b24c-9b2efd828a68,Cupboard,,,2,2,0,1,104.21,104.21,1,270.0,270.0,-130.0,2026-07-28 14:17:38.817531,2.0,Verified:2
23613fa4-ac57-4a26-9de3-658c3f2c4b4d,Fan,,,2,1,1,2,,,0,0.0,,,,2.0,High:2
