entity_id,risk_score,risk_level,anomaly_score,flags,explanation
fd1af9e3-4206-4c49-83bb-d64ddf1b56d1,100.0,Critical,1.0,high_frequency;severe_repeat;severe_peer_outlier,High ticket count (14) | Same issue repeated 14 times | Ticket count 7.0x the Air Conditioner peer median
572c3a43-35ae-48cc-941e-77484386f1bd,99.8,Critical,0.996,high_frequency;severe_repeat;severe_peer_outlier,High ticket count (10) | Same issue repeated 10 times | Ticket count 5.0x the Air Conditioner peer median
98885f45-4010-403c-8884-8649d4cdd02a,99.5,Critical,0.992,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
0e9127c1-dd69-4c46-9126-a605af00881c,99.1,Critical,0.984,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
1fac099b-4e9f-4260-bfa2-9ecdd23b97fb,98.9,Critical,0.98,high_frequency;repeated_same_issue;peer_outlier,High ticket count (5) | Same issue repeated 5 times | Ticket count 5.0x the RO Water Purifier peer median
9d1e311a-cb0a-4ed0-a1a5-54bafa0ca837,98.6,Critical,0.975,high_frequency;repeated_same_issue;severe_peer_outlier,High ticket count (9) | Same issue repeated 9 times | Ticket count 9.0x the Fan peer median
d4f2ff34-b56c-4fa6-bdb2-fabb4d39c447,98.4,Critical,0.971,high_frequency;repeated_same_issue;severe_peer_outlier,High ticket count (8) | Same issue repeated 8 times | Ticket count 4.0x the Air Conditioner peer median
99d778f7-c033-4e7f-b205-35213a9877d6,98.2,Critical,0.967,high_frequency;repeated_same_issue;severe_peer_outlier,High ticket count (9) | Same issue repeated 8 times | Ticket count 4.5x the Air Conditioner peer median
1f66dc02-27aa-4363-bd97-2df70371ebb0,98.0,Critical,0.963,high_frequency;repeated_same_issue;peer_outlier,High ticket count (7) | Same issue repeated 7 times | Ticket count 3.5x the Air Conditioner peer median
71701352-6d07-4b20-b6f7-7b70117dd5a3,97.5,Critical,0.955,high_frequency;repeated_same_issue;severe_peer_outlier,High ticket count (8) | Same issue repeated 8 times | Ticket count 4.0x the Air Conditioner peer median
d9a2ce08-6abd-43c3-bbf2-33b0c187a3b5,97.3,Critical,0.951,high_frequency;repeated_same_issue;peer_outlier,High ticket count (6) | Same issue repeated 6 times | Ticket count 3.0x the Air Conditioner peer median
58cb2e24-2d02-4c94-acad-fe4c2afaa878,97.1,Critical,0.947,high_frequency;repeated_same_issue;peer_outlier,High ticket count (6) | Same issue repeated 6 times | Ticket count 6.0x the Fan peer median
03f8aa98-9864-42fd-921e-06eddab47e98,96.4,Critical,0.934,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
13d9d678-a406-41b2-853d-8628a9ce5b31,95.5,Critical,0.918,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
d6b0afc8-bfb7-42fb-8a6f-f026ee1a26e1,95.3,Critical,0.914,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
40273ebc-52da-4130-82f8-a28b466d4adc,95.0,Critical,0.91,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
5113f32c-70bb-4e71-9b7f-f7160c4ecb3e,94.8,Critical,0.906,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
9a617a18-45e3-4139-8e9b-4babbc1c20eb,94.6,Critical,0.902,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
bb236be0-2a55-43fa-b798-b41eb5132d2d,94.4,Critical,0.898,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
aa6f4ce6-e2ac-44f0-917b-0f04f9a1896f,93.9,Critical,0.889,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
3efce5d2-b6c1-424a-9491-52000cca55c5,93.2,Critical,0.877,high_frequency;repeated_same_issue,High ticket count (5) | Same issue repeated 5 times
3466151e-b985-4928-a03b-037084dcf9ae,92.3,Critical,0.861,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
14d27fc6-b43f-420e-9cc7-29bec3989775,91.7,Critical,0.848,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
38024f17-c961-4963-a0ed-d681e192a3f6,90.6,Critical,0.83,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
3f41cc65-e037-4c1e-863a-cc49813984d6,90.6,Critical,0.83,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
ab789334-fbcd-43c7-bee0-ff6a046cfaab,90.1,Critical,0.82,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
b0bccede-ab77-4d9a-8dc5-2bdcaf8624f4,89.9,Critical,0.816,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
0861776d-2243-4e50-815b-7d79e5acdd51,89.4,Critical,0.807,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
a01fdc02-1311-43b4-828c-ae25f1158139,89.2,Critical,0.803,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
1ac33845-439e-4379-ba39-8f2c952e8873,89.0,Critical,0.799,high_frequency;repeated_same_issue,High ticket count (4) | Same issue repeated 4 times
dccbf35d-537d-48ac-92d9-d1d792755a15,66.0,High,0.791,peer_outlier,Ticket count 3.0x the Water Heater peer median
6b3439e1-ce82-479e-9781-e9a2b893b664,65.6,High,0.783,peer_outlier,Ticket count 3.0x the Water Heater peer median
87f1cde5-cc89-4a84-83a1-d3f92094f0f8,64.2,High,0.758,peer_outlier,Ticket count 3.0x the Washing Machine peer median
1f2db2a4-13ef-405c-970f-d5f7838c73fa,54.3,Medium,0.988,,
61507e8e-6567-48b7-b838-3e16c2397da7,52.7,Medium,0.959,,
9c517620-7cbf-45ba-b969-fa3728bf2957,51.8,Medium,0.943,,
0c6a45fa-eea8-4b3e-925c-9e22848928f0,51.6,Medium,0.939,,
e033fe7f-dc31-46f7-9723-cce3793a1cca,51.2,Medium,0.93,,
674fc797-2fa0-4292-9fcb-4205d7c5353b,50.9,Medium,0.926,,
1ecc31a0-bd06-47cd-97d6-08a6fc66b684,50.7,Medium,0.922,,
b6584e89-b55e-4e4c-aa98-a34c72f15191,49.1,Medium,0.893,,
ad75c377-9acf-491b-a138-6bf57009111c,48.7,Medium,0.885,,
e1ee1927-859c-44fb-beee-1211b3c1828a,48.5,Medium,0.881,,
bc7caf2c-ad7b-403a-9681-01e3c22c291f,48.0,Medium,0.873,,
015a5afe-f096-4f3f-a41a-734a4743aa19,47.8,Medium,0.869,,
c44baed9-eb09-45bc-ab4d-eaba9a19d7ff,47.6,Medium,0.865,,
cb8ee2ea-5294-4841-b841-769cb00f5e9a,47.1,Medium,0.857,,
60e6badc-68a9-4456-b05b-c745c0e14502,46.9,Medium,0.852,,
3005c67a-dd3b-4a53-a457-4b155602758d,46.4,Medium,0.844,,
2920e94a-8321-4019-8aac-1ead84f7559e,46.2,Medium,0.84,,
e5a1f770-e368-43c8-a5f8-ea8b0a342ded,46.0,Medium,0.836,,
137edf51-8c3c-42ba-8ee2-fa5b316f6e55,45.3,Medium,0.824,,
c79df700-6e0b-4d5e-b431-d855a7d266d1,44.6,Medium,0.811,,
5da6f131-fa1e-4f4a-bd3e-736bee9f59d2,43.7,Medium,0.795,,
adb3400d-f02f-4df4-9edb-1ae6e142d858,43.3,Medium,0.787,,
2bbe28a7-9d1b-4ef1-b24c-9b2efd828a68,42.8,Medium,0.779,,
3cd43d6f-933d-4917-9b7d-296ae90d9d4f,42.6,Medium,0.775,,
9d364a68-c955-4fe7-8a91-9ed05f2a64a8,42.4,Medium,0.77,,
147c451f-29c0-4333-a9e7-a73d1cdb9a1b,42.2,Medium,0.766,,
656467e0-85ba-45b6-ac40-6fa5e71d0af6,41.9,Medium,0.762,,
4bca902d-8716-446e-b3b2-e01da0999fba,41.5,Medium,0.754,,
41b29390-ba7f-498b-accf-cf2f33a2d333,41.2,Medium,0.75,,
317172ac-c2bb-40a2-bf74-b4770912b83a,41.0,Medium,0.746,,
dc1020be-24a1-4aba-a4bc-ba16db1478b7,40.8,Medium,0.742,,
05a93b2d-a6c7-4640-93af-6fd19b12c0a2,40.6,Medium,0.738,,
892dee30-f709-4a03-84bf-21b682baa295,40.3,Medium,0.734,,
