asset_id,asset_id_source,asset_code,ticket_id,ticket_number,current_repair_date,current_resolution_hours,asset_historical_median,asset_history_sample_size,baseline_source,baseline_history_type,baseline_confidence,verified_history_size,raw_history_size,pct_of_baseline,faster_percentage,previous_repair_date,days_since_previous_repair,recent_repeat_count_90d,resolver,cost,tenant_approved,mapping_confidence,severity,severity_level,verification_status,repair_timeline,explanation
1fac099b-4e9f-4260-bfa2-9ecdd23b97fb,direct,VH-RO-D21-0001,25627ef2-0336-47f6-8a33-cf89a60ab7c7,VIST-26-06-00072,2026-06-18 07:29:25.842,0.9,32.58,24,asset_type,Provisional,Medium,0,4,0.028,97.2,2026-06-16 09:35:25.926,1.9,1,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,,Verified,102.2,Critical,Historical Repair Observation,"16 Jun 2026 -> 28.7 hours
18 Jun 2026 -> 3.6 hours
18 Jun 2026 -> 27.4 hours
20 Jun 2026 -> 56.8 hours
Current -> 54 minutes  [under review]",This historical repair was completed 97.2% faster than this asset's typical historical repair duration based on available historical records.
1fac099b-4e9f-4260-bfa2-9ecdd23b97fb,direct,VH-RO-D21-0001,51d838ab-d34d-458d-8ba4-a58d1c010c5f,VIST-26-06-00071,2026-06-18 07:31:17.930,3.57,32.58,24,asset_type,Provisional,Medium,0,4,0.11,89.0,2026-06-18 07:29:25.842,0.0,2,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,true,Verified,99.0,Critical,Historical Repair Observation,"16 Jun 2026 -> 28.7 hours
18 Jun 2026 -> 54 minutes
18 Jun 2026 -> 27.4 hours
20 Jun 2026 -> 56.8 hours
Current -> 3.6 hours  [under review]",This historical repair was completed 89.0% faster than this asset's typical historical repair duration based on available historical records.
980ff08f-01bb-4ec8-846e-87474b79285d,direct,VH-ST-C11-0001,72405ca5-e55a-4349-9fdd-ca700389fd6b,VISH-2026-1111,2026-04-18 12:29:51.892,1.05,41.59,42,issue_type,Provisional,Low,0,0,0.025,97.5,,,0,,,,Verified,97.5,High,Historical Repair Observation,Current -> 1.0 hours  [under review],This historical repair was completed 97.5% faster than this asset's typical historical repair duration based on available historical records.
258d48fb-9fcd-4500-8724-3d5f900e042a,direct,VH-CB-B11-0006,73999906-6bab-4a7b-bb02-ee5f45f086a2,VISH-2026-0009,2026-04-03 10:37:38.274,1.01,21.71,14,asset_type,Provisional,Medium,0,1,0.047,95.3,2026-03-01 20:05:00.000,32.6,1,,,true,Verified,95.3,Critical,Historical Repair Observation,"01 Mar 2026 -> 0 minutes
Current -> 1.0 hours  [under review]",This historical repair was completed 95.3% faster than this asset's typical historical repair duration based on available historical records.
bb3a7a45-bed6-408d-a8f5-6bd712253fb4,direct,VH-MA-B31-0004,c43a9fe1-1d1f-415d-8c50-c5fb4f30df08,VISH-2026-0005,2026-04-03 07:00:42.950,1.98,41.59,42,issue_type,Provisional,Low,0,0,0.048,95.2,,,0,,,true,Verified,95.2,High,Historical Repair Observation,Current -> 2.0 hours  [under review],This historical repair was completed 95.2% faster than this asset's typical historical repair duration based on available historical records.
9c958763-2d9c-46a4-8f4e-44f491ee63ef,direct,VH-BS-B42-0002,01e761fc-cf80-46dc-99fc-90cec18565a9,VIST-26-05-00127,2026-05-26 08:45:31.031,3.2,48.4,12,asset_type,Provisional,Medium,0,0,0.066,93.4,,,0,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,,Verified,93.4,Critical,Historical Repair Observation,Current -> 3.2 hours  [under review],This historical repair was completed 93.4% faster than this asset's typical historical repair duration based on available historical records.
7a14979e-6e89-4006-9aa2-8705a2f07dfe,direct,VH-CO-C12-0006,2132b30e-45a1-4021-801e-c0772c7fcc4d,VISH-2026-0008,2026-04-03 10:32:19.327,4.33,51.51,16,issue_type,Provisional,Low,0,0,0.084,91.6,,,0,,,true,Verified,91.6,High,Historical Repair Observation,Current -> 4.3 hours  [under review],This historical repair was completed 91.6% faster than this asset's typical historical repair duration based on available historical records.
dc0331d7-c01e-4d7f-b191-15466d6712c9,direct,VH-CO-C21-0004,4dc2e07a-34a8-484e-af81-8347df1d0aef,VISH-2026-0004,2026-04-03 09:58:08.964,5.06,58.03,9,asset_type,Provisional,Medium,0,0,0.087,91.3,,,0,,,true,Verified,91.3,Critical,Historical Repair Observation,Current -> 5.1 hours  [under review],This historical repair was completed 91.3% faster than this asset's typical historical repair duration based on available historical records.
e5a1f770-e368-43c8-a5f8-ea8b0a342ded,direct,VH-RO-C11-0001,e2f11fa3-0123-4cab-a9e4-46d077572c09,VIST-26-07-00007,2026-07-02 07:12:32.746,2.85,32.58,24,asset_type,Provisional,Medium,0,1,0.087,91.3,2026-04-10 04:22:56.140,83.1,1,f6623646-3abe-4faf-bff7-684ea1f04e96,2500.0,true,Verified,91.3,Critical,Historical Repair Observation,"10 Apr 2026 -> 62.3 hours
Current -> 2.8 hours  [under review]",This historical repair was completed 91.3% faster than this asset's typical historical repair duration based on available historical records.
3622b8e4-8e8f-4264-a33e-ea56373f527d,direct,VH-RF-B33-0001,ac72e508-b892-459e-8fa3-0ed87a7ab484,VIST-26-07-00069,2026-07-22 11:05:09.022,3.67,39.85,3,issue_type,Provisional,Low,0,0,0.092,90.8,,,0,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,,Verified,90.8,High,Historical Repair Observation,Current -> 3.7 hours  [under review],This historical repair was completed 90.8% faster than this asset's typical historical repair duration based on available historical records.
