tenant_id,total_tickets,avg_resolution_hours,rejection_count,rejection_rate,total_maintenance_cost,cost_per_ticket
cda37b51-1bbc-af0d-a560-49af88fdc751,32,29.23,0,0.0,0.0,0.0
a7798da2-f8ee-1840-a1f3-f29a9e764b97,29,14.5,0,0.0,0.0,0.0
bcf8ffc1-fd5c-f6ab-0453-7a73c73786dd,29,302.58,1,0.034,0.0,0.0
1932ea80-c6eb-874e-eca8-12410fa7a608,28,187.66,2,0.071,0.0,0.0
6162731a-4a9c-e887-e586-1ea574985777,28,,0,0.0,0.0,0.0
854c86e3-8b7f-0ca8-f4ac-c6a073699611,23,64.0,0,0.0,0.0,0.0
22a9494d-0e02-6fba-4aee-7947f1e6110b,22,40.87,0,0.0,1120.0,50.91
23f7ef5f-6b26-a104-b616-b438d7e9243c,22,219.76,0,0.0,0.0,0.0
251051cf-e3b5-5d37-918f-bf22b4875790,22,42.08,0,0.0,0.0,0.0
3b02f95a-b47e-1037-4f8a-f2f31e35c98e,20,79.0,1,0.05,0.0,0.0
d257c87f-0e42-048c-8409-362e925d86fc,18,,0,0.0,0.0,0.0
bdcc24e3-6077-3ea9-b25e-2747d0f07be7,18,36.41,0,0.0,0.0,0.0
6dd50e39-9843-4442-cc09-3b49fbe97fb9,17,155.49,1,0.059,0.0,0.0
f284b25b-d762-1399-a12e-ba7ffa6b6f97,17,647.33,0,0.0,0.0,0.0
b111e4dd-be1d-2c79-3945-480547761b5f,16,,0,0.0,0.0,0.0
5d4122d1-48a3-607c-cb72-e1956caece73,15,,0,0.0,0.0,0.0
d6268133-5904-3e9a-6956-9493d2f78a1d,15,,0,0.0,0.0,0.0
ba8dd5e0-ed0e-8b6a-7098-2732476feb31,15,334.2,1,0.067,1948.0,129.87
10f3edc6-4b03-b82d-8df1-09ddaf031c0c,15,83.16,0,0.0,0.0,0.0
e99afa10-6249-3f5b-4364-da75f89e34f9,14,22.04,0,0.0,0.0,0.0
93eb3d6a-d35b-ef1f-83b8-7430b6ad1674,14,29.63,0,0.0,0.0,0.0
a4709d2c-85e2-3d68-7467-1eaf879ba2c9,14,148.65,0,0.0,0.0,0.0
66fbcb59-3d06-d8cc-b1d5-53f38a599207,14,21.9,0,0.0,0.0,0.0
5fee0a79-3970-704a-2332-f7c7598e86c1,13,1204.07,1,0.077,0.0,0.0
890b32d9-f754-8150-5a18-8a21fcdf3828,13,41.27,1,0.077,1180.0,90.77
238b347e-e7e9-b1a3-31a8-a2f8fed99f55,13,2.39,0,0.0,0.0,0.0
c3c77367-5f51-f7a7-e667-0e3480f53751,13,112.36,0,0.0,0.0,0.0
876bcc88-d210-8a14-5197-f2062208f7a3,13,,0,0.0,0.0,0.0
257579ca-bef0-99b8-f916-e518891ffdab,12,116.08,2,0.167,50.0,4.17
276b5368-040e-e40e-948d-d1159a743920,12,,0,0.0,0.0,0.0
18788fe2-f6a2-826e-2199-6cec118c6d00,12,23.45,0,0.0,0.0,0.0
0278721a-a690-833b-298a-16a351fb7a3a,12,21.27,0,0.0,0.0,0.0
8208282e-43b7-930c-251f-223cdeecd947,12,,0,0.0,0.0,0.0
fc8a412e-e0d4-35e1-37fa-5f798b7dc7f4,12,42.57,0,0.0,0.0,0.0
4b85d836-4912-f7a8-46ac-19256a4ed1d4,11,,0,0.0,0.0,0.0
491b8136-32a1-37c5-5253-b53ff3991d86,11,147.03,0,0.0,0.0,0.0
1fc0c3bb-f35c-8d5d-a4fa-a9c1723cd8ab,11,37.18,0,0.0,0.0,0.0
18d86801-3cb7-11d4-8b9d-433429296014,11,,1,0.091,0.0,0.0
79e31f6f-69dc-a40c-27d7-3f076878f83c,11,22.95,0,0.0,0.0,0.0
b285539d-6e4c-f6f5-ee68-2dc683541067,10,,0,0.0,0.0,0.0
a75fdceb-021a-cc46-3632-8d5369c5f2c6,10,,0,0.0,0.0,0.0
abd9f8e2-40f4-994c-f326-8ad6c939bb6a,10,,0,0.0,0.0,0.0
4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,10,17.76,0,0.0,0.0,0.0
5b45a840-9d6c-242e-0e2f-2e2c972c2eec,10,35.33,0,0.0,0.0,0.0
03ce56c0-8798-b95d-7125-311b80363e74,10,1007.72,0,0.0,0.0,0.0
00ff5468-3680-2a12-23e4-82855ab3c697,10,27.22,0,0.0,0.0,0.0
2631ddfd-660e-8719-1876-82cf88e13a60,10,41.5,0,0.0,0.0,0.0
2ba81159-3fd3-401a-b806-4cf09e7dce86,10,32.09,1,0.1,0.0,0.0
4cf13b7d-67b4-87af-6795-b532998a9b0d,10,,0,0.0,0.0,0.0
49355947-7605-ec5f-7d81-a6597f38d76b,10,,0,0.0,0.0,0.0
f6c5c3d2-ceda-6c7f-aa96-359c7dc9ee92,9,,0,0.0,0.0,0.0
ac5ee6bc-de6f-6f5a-a196-731bff043dc7,9,,0,0.0,0.0,0.0
43774f3c-9ce6-fc78-7857-b8607c3e1966,9,238.06,1,0.111,0.0,0.0
510cd475-6538-7d02-413c-1a0f553ba4e6,9,146.11,0,0.0,0.0,0.0
227f376b-633a-5615-5670-c29559d0a08b,9,38.17,0,0.0,0.0,0.0
1b003ea3-bdcb-0416-c3c2-8ff60f2f65f5,9,44.88,0,0.0,0.0,0.0
8aacbc78-5e56-b3c0-f8bc-fcb5490b94f3,9,,0,0.0,0.0,0.0
4505ca5d-0961-03c9-5943-ffda2a5ae270,8,75.96,0,0.0,0.0,0.0
74c6b975-b0ab-c8b3-8acd-2cf53597a72b,8,,0,0.0,0.0,0.0
79d4d3fe-73c5-a965-030f-c60220ee20cb,8,176.32,0,0.0,0.0,0.0
77dd12b8-a20b-05c8-2372-79ba1b1624a9,8,66.52,1,0.125,0.0,0.0
c0791d4c-9325-bf1b-30af-7af648c26338,8,,0,0.0,0.0,0.0
cf1318a5-0564-4af6-d90e-c3e76de1ef08,8,70.21,1,0.125,0.0,0.0
8b018cc7-2387-99c8-5b29-d1ab1f7b635e,8,17.14,0,0.0,0.0,0.0
890d247c-e472-92eb-0db7-ca3bc375622c,8,,0,0.0,0.0,0.0
4bdca5eb-f197-a87d-d26a-c63a9b3298a1,8,,0,0.0,0.0,0.0
