entity_id,risk_score,risk_level,anomaly_score,flags,explanation
bcf8ffc1-fd5c-f6ab-0453-7a73c73786dd,99.3,Critical,0.988,high_ticket_count;freq_outlier,Raised 29 tickets (population p95=17) | Ticket frequency far above tenant peers
1932ea80-c6eb-874e-eca8-12410fa7a608,98.9,Critical,0.98,high_ticket_count;freq_outlier,Raised 28 tickets (population p95=17) | Ticket frequency far above tenant peers
cda37b51-1bbc-af0d-a560-49af88fdc751,97.8,Critical,0.96,high_ticket_count;freq_outlier,Raised 32 tickets (population p95=17) | Ticket frequency far above tenant peers
a7798da2-f8ee-1840-a1f3-f29a9e764b97,96.7,Critical,0.94,high_ticket_count;freq_outlier,Raised 29 tickets (population p95=17) | Ticket frequency far above tenant peers
3b02f95a-b47e-1037-4f8a-f2f31e35c98e,96.5,Critical,0.936,high_ticket_count;freq_outlier,Raised 20 tickets (population p95=17) | Ticket frequency far above tenant peers
23f7ef5f-6b26-a104-b616-b438d7e9243c,96.2,Critical,0.932,high_ticket_count;freq_outlier,Raised 22 tickets (population p95=17) | Ticket frequency far above tenant peers
6162731a-4a9c-e887-e586-1ea574985777,95.6,Critical,0.92,high_ticket_count;freq_outlier,Raised 28 tickets (population p95=17) | Ticket frequency far above tenant peers
854c86e3-8b7f-0ca8-f4ac-c6a073699611,94.5,Critical,0.9,high_ticket_count;freq_outlier,Raised 23 tickets (population p95=17) | Ticket frequency far above tenant peers
22a9494d-0e02-6fba-4aee-7947f1e6110b,92.7,Critical,0.867,high_ticket_count;freq_outlier,Raised 22 tickets (population p95=17) | Ticket frequency far above tenant peers
251051cf-e3b5-5d37-918f-bf22b4875790,92.5,Critical,0.863,high_ticket_count;freq_outlier,Raised 22 tickets (population p95=17) | Ticket frequency far above tenant peers
bdcc24e3-6077-3ea9-b25e-2747d0f07be7,91.6,Critical,0.847,high_ticket_count;freq_outlier,Raised 18 tickets (population p95=17) | Ticket frequency far above tenant peers
d257c87f-0e42-048c-8409-362e925d86fc,90.5,Critical,0.827,high_ticket_count;freq_outlier,Raised 18 tickets (population p95=17) | Ticket frequency far above tenant peers
8123af5e-305b-80f8-20db-4d54b7f628c7,88.8,Critical,1.0,high_rejection_rate,Rejection rate 100% (3 rejected) above avg 2%
950dd22f-78fa-d205-48b3-fe5a5cc7438e,86.8,Critical,0.964,high_rejection_rate,Rejection rate 33% (2 rejected) above avg 2%
f284b25b-d762-1399-a12e-ba7ffa6b6f97,75.7,Critical,0.968,high_ticket_count,Raised 17 tickets (population p95=17)
6dd50e39-9843-4442-cc09-3b49fbe97fb9,73.3,High,0.924,high_ticket_count,Raised 17 tickets (population p95=17)
5fee0a79-3970-704a-2332-f7c7598e86c1,54.8,Medium,0.996,,
03ce56c0-8798-b95d-7125-311b80363e74,54.6,Medium,0.992,,
11e59c65-004e-4eea-a733-d3a6a7c65fb1,54.1,Medium,0.984,,
389859df-460c-4966-a71d-eb7bbebae67b,53.7,Medium,0.976,,
8996897f-e383-4fca-87f9-654e1b14b3c2,53.5,Medium,0.972,,
8e39a9bd-3317-b2a6-22a6-16fa4cab9632,52.6,Medium,0.956,,
1d4c0119-5151-7a5b-2266-f16e44f67157,52.3,Medium,0.952,,
257579ca-bef0-99b8-f916-e518891ffdab,52.1,Medium,0.948,,
ba8dd5e0-ed0e-8b6a-7098-2732476feb31,51.9,Medium,0.944,,
43774f3c-9ce6-fc78-7857-b8607c3e1966,51.0,Medium,0.928,,
2ba81159-3fd3-401a-b806-4cf09e7dce86,50.4,Medium,0.916,,
cf1318a5-0564-4af6-d90e-c3e76de1ef08,50.1,Medium,0.912,,
77dd12b8-a20b-05c8-2372-79ba1b1624a9,49.9,Medium,0.908,,
890b32d9-f754-8150-5a18-8a21fcdf3828,49.7,Medium,0.904,,
080eae03-9f65-4515-aec2-8924472923dd,49.3,Medium,0.896,,
f9eb9b23-5f60-4ec4-b990-8313323bb759,49.0,Medium,0.892,,
18d86801-3cb7-11d4-8b9d-433429296014,48.8,Medium,0.888,,
44bf5771-a669-438c-a190-88aab999cfae,48.6,Medium,0.884,,
9c88cc60-ea13-4dd1-9930-ca14ff0c6aa0,48.4,Medium,0.88,,
a4ef95bf-1c7c-4c4d-0497-ae38085af6cc,48.2,Medium,0.876,,
2794ccf7-4966-f00d-35d6-34ac17db73ea,47.9,Medium,0.871,,
c02eb961-2471-c285-9c28-fb9a12aaf70a,47.3,Medium,0.859,,
a4709d2c-85e2-3d68-7467-1eaf879ba2c9,47.0,Medium,0.855,,
8b48adf3-c14a-fa6d-9785-b4bcb35f8fbb,46.8,Medium,0.851,,
238b347e-e7e9-b1a3-31a8-a2f8fed99f55,46.4,Medium,0.843,,
9541a16d-d020-eb78-80f1-a4a2d4b7775f,46.2,Medium,0.839,,
d77b5c1e-605d-6795-5eee-1e2f9b83e069,45.9,Medium,0.835,,
073e4bd7-f1f1-49d3-604f-c365b9952a6c,45.7,Medium,0.831,,
10f3edc6-4b03-b82d-8df1-09ddaf031c0c,45.3,Medium,0.823,,
c3c77367-5f51-f7a7-e667-0e3480f53751,45.1,Medium,0.819,,
491b8136-32a1-37c5-5253-b53ff3991d86,44.8,Medium,0.815,,
8971261e-a813-477f-94c0-0a9661dc4c34,44.6,Medium,0.811,,
d178a884-0bd1-601d-4cd1-042bac71c6db,44.4,Medium,0.807,,
2d700a6b-44c4-438b-841f-febe1b2c47a7,44.2,Medium,0.803,,
79d4d3fe-73c5-a965-030f-c60220ee20cb,44.0,Medium,0.799,,
510cd475-6538-7d02-413c-1a0f553ba4e6,43.7,Medium,0.795,,
d751c131-c1c9-4f5c-88f8-7e4c6cb710b3,43.5,Medium,0.791,,
b111e4dd-be1d-2c79-3945-480547761b5f,43.3,Medium,0.787,,
be84008a-74d3-3cc1-6fd6-bcef998f7bff,43.1,Medium,0.783,,
66fbcb59-3d06-d8cc-b1d5-53f38a599207,42.7,Medium,0.777,,
e99afa10-6249-3f5b-4364-da75f89e34f9,42.7,Medium,0.777,,
8709ca2e-a8a6-48a4-b8ce-e813c4796ab9,42.4,Medium,0.771,,
93eb3d6a-d35b-ef1f-83b8-7430b6ad1674,42.2,Medium,0.767,,
f295149c-bcb1-4d48-93ce-d2ea593d29c3,42.0,Medium,0.763,,
961c950e-debe-4dd2-8e5f-08bf92bda977,41.7,Medium,0.759,,
22b0be2d-52c5-1127-642d-4f1083b404ca,41.5,Medium,0.755,,
1a171004-7682-1c39-e6a2-758b668c33b0,41.3,Medium,0.751,,
5d4122d1-48a3-607c-cb72-e1956caece73,41.0,Medium,0.745,,
d6268133-5904-3e9a-6956-9493d2f78a1d,41.0,Medium,0.745,,
062b56c4-c469-4ef7-b4e6-9615dd770ec9,40.6,Medium,0.739,,
0278721a-a690-833b-298a-16a351fb7a3a,40.4,Medium,0.735,,
2b785f57-1c4f-d4a8-d486-b69e7b2db5bc,40.2,Medium,0.731,,
18788fe2-f6a2-826e-2199-6cec118c6d00,40.0,Medium,0.727,,
b6263381-5732-4544-952b-edde50fdfc28,39.8,Medium,0.723,,
07734943-434c-4c8b-b1fa-49d7c4e8a7fe,39.5,Medium,0.719,,
79e31f6f-69dc-a40c-27d7-3f076878f83c,39.3,Medium,0.715,,
c511ac63-cb7e-1453-92d5-ea4ffba1c360,39.1,Medium,0.711,,
4628a4bf-d4c5-9e5d-471c-271b9f3e7d03,38.9,Medium,0.707,,
1a3b6c74-26e1-7124-0b5c-7f783d71624d,38.7,Medium,0.703,,
876bcc88-d210-8a14-5197-f2062208f7a3,38.4,Medium,0.699,,
fc8a412e-e0d4-35e1-37fa-5f798b7dc7f4,38.2,Medium,0.695,,
d4890451-59e6-45f4-a75f-b2199aa5a3a7,38.0,Medium,0.691,,
1fc0c3bb-f35c-8d5d-a4fa-a9c1723cd8ab,37.8,Medium,0.687,,
00ff5468-3680-2a12-23e4-82855ab3c697,37.6,Medium,0.683,,
8b018cc7-2387-99c8-5b29-d1ab1f7b635e,37.3,Medium,0.679,,
f16a668c-ea8a-b26d-9dff-4da3c53fccc7,37.1,Medium,0.675,,
011b7d1c-5697-5394-c05b-fa0473640657,36.9,Medium,0.671,,
86cd2239-fa55-0389-437e-e8fd505dc931,36.7,Medium,0.667,,
8208282e-43b7-930c-251f-223cdeecd947,36.3,Medium,0.661,,
276b5368-040e-e40e-948d-d1159a743920,36.3,Medium,0.661,,
c09e703c-d287-38c8-d1c1-239145e17df9,36.0,Medium,0.655,,
83af11b3-a274-7404-3265-ec658f74f8cf,35.8,Medium,0.651,,
4505ca5d-0961-03c9-5943-ffda2a5ae270,35.6,Medium,0.647,,
5b45a840-9d6c-242e-0e2f-2e2c972c2eec,35.3,Medium,0.643,,
b2f85d5d-acf9-7c53-dc5b-0d3b67b462c5,35.1,Medium,0.639,,
df5ea39c-c069-5211-271d-f0d3831adefa,34.9,Low,0.635,,
227f376b-633a-5615-5670-c29559d0a08b,34.7,Low,0.631,,
a467df39-5ec5-465e-a471-e2b54be7bc71,34.5,Low,0.627,,
9653a402-ff75-bbdf-8cc6-1cb0ca01f233,34.2,Low,0.622,,
7e2a1e58-e10a-4352-ca15-59fd22f2c07e,34.0,Low,0.618,,
8e125a87-1a3e-4b52-855b-635c06bafd87,33.8,Low,0.614,,
53416e34-aaed-471f-937d-0fea74c444b8,33.6,Low,0.61,,
4b85d836-4912-f7a8-46ac-19256a4ed1d4,33.4,Low,0.606,,
e426d68a-16d2-9097-ff7d-ae2521fb52e5,33.1,Low,0.602,,
26b16f30-da65-8aa3-d1ec-4867ac2a8f35,32.9,Low,0.598,,
2631ddfd-660e-8719-1876-82cf88e13a60,32.7,Low,0.594,,
1b003ea3-bdcb-0416-c3c2-8ff60f2f65f5,32.5,Low,0.59,,
791c16c3-5afa-4081-a47c-53439979e5b3,32.2,Low,0.586,,
cd2c3f97-4df7-b32f-d0c0-12031beae516,32.0,Low,0.582,,
51c3d3a9-bfa0-4a8e-a687-3ef46bc022cc,31.8,Low,0.578,,
1dc2bdca-ae79-4cd5-9d74-961c02cce282,31.6,Low,0.574,,
de481a65-2fb4-4974-b7db-0ec990ea852d,31.4,Low,0.57,,
