ticket_id,tenant_id,bed_id,issue_type,resolution_hours,cost,expected_cost,cost_difference,repeat_issue_flag,tenant_ticket_count,asset_mapping_confidence
e87fdb6a-0f93-4b63-8bf2-5f346cb9f10d,bcf8ffc1-fd5c-f6ab-0453-7a73c73786dd,16d9e7d4-a079-cc9d-1fb4-b96de3cb70dd,Heater Issues,,,600.0,,0,29,Verified
d83795d2-c76c-1f57-b4f1-a157fb9a1f9e,1d4c0119-5151-7a5b-2266-f16e44f67157,084bb169-aff1-824a-c5de-2804fd43160b,Washing machine Issue,,,700.0,,1,2,Low
c9cb7236-8e59-4d71-4640-b5bd5d92fc3c,9714e9c1-0eab-8c23-1dd7-2071a458be87,3e28154d-1bfe-92b4-2fff-f295a9f54738,AC Issues,,,650.0,,1,1,Medium
9b519d24-38bf-9a73-c7bc-13a86452cfc9,93ffab65-d88d-3bbd-9dba-fc0c764f42f4,7c40116d-93d8-18b7-496a-5f628dab192d,Electrical Issues,,,300.0,,0,3,Low
9e565e88-284e-3695-913b-23d2b5ba38dd,93ffab65-d88d-3bbd-9dba-fc0c764f42f4,51597632-5648-1987-017c-c65e2ad300f8,RO Water Issues,,,300.0,,0,3,Low
2253a749-6272-7393-199c-9d01bf989aaa,93ffab65-d88d-3bbd-9dba-fc0c764f42f4,51597632-5648-1987-017c-c65e2ad300f8,Plumbing,,,,,0,3,Low
e3d3b08e-1168-24d9-88db-6d8af6ed10da,e04a7b1e-bb22-2ccf-a342-9eea602847ff,d2ad3fde-45b8-0cd9-8e17-31257bcd567e,Electrical Issues,,,300.0,,0,3,High
54e11d47-087a-301c-2e07-65fe0ff60f46,e04a7b1e-bb22-2ccf-a342-9eea602847ff,7fe69b36-41b0-fb38-f990-b56311e3fbad,Washing machine Issue,,,700.0,,0,3,Low
57873b90-a7d4-ae83-d657-4bc0d57f6ee0,e04a7b1e-bb22-2ccf-a342-9eea602847ff,7fe69b36-41b0-fb38-f990-b56311e3fbad,Plumbing,,,,,0,3,Low
1ef74a90-7dca-6bcb-05da-b385f97420e0,2d24b7c1-6556-8eb5-73d6-3ed3913e6d40,a607e4b0-3364-b1fb-774e-01d67c4fcdf1,AC Issues,,,650.0,,0,1,Low
37c4d587-a13a-a523-828b-8c1c3f47c6e5,d6d33436-345a-e39c-9f8d-91c76dca514e,7c40116d-93d8-18b7-496a-5f628dab192d,AC Issues,,,650.0,,1,4,Low
b5e44530-52eb-195c-23ce-0901df0f2811,d6d33436-345a-e39c-9f8d-91c76dca514e,7c40116d-93d8-18b7-496a-5f628dab192d,Other,,,,,0,4,Low
58afb6b4-58c2-bb78-8401-0d840281812e,d6d33436-345a-e39c-9f8d-91c76dca514e,7c40116d-93d8-18b7-496a-5f628dab192d,Furniture,,,500.0,,0,4,Low
50c923c5-a984-3119-6443-cfa0e8805482,d6d33436-345a-e39c-9f8d-91c76dca514e,7c40116d-93d8-18b7-496a-5f628dab192d,AC Issues,,,650.0,,1,4,Low
cb8c9894-64d9-69dd-3677-6f430d882b79,733dd472-3b1e-dd43-76e5-082ddfe66c5b,93ca06f8-59a4-5441-fa72-8211f7fb7d8a,RO Water Issues,,,300.0,,1,4,Low
752c8d81-bc98-42db-d215-788d17dba6eb,733dd472-3b1e-dd43-76e5-082ddfe66c5b,93ca06f8-59a4-5441-fa72-8211f7fb7d8a,Other,,,,,1,4,Low
7db38434-5d5c-80cd-e524-00e52d3546e6,733dd472-3b1e-dd43-76e5-082ddfe66c5b,93ca06f8-59a4-5441-fa72-8211f7fb7d8a,Other,,,,,1,4,Low
96c1cf88-5d0c-4449-a197-7c8bc5fd4dc3,f16a668c-ea8a-b26d-9dff-4da3c53fccc7,e490e3a6-9e5c-a6b8-a156-bfb492b8b0a4,Toilet Issues,21.26,,400.0,,0,6,Low
846c9340-23b3-47a4-8a54-5953b41f2f7a,,93a076cf-52c6-b904-02a9-5b95125d5dfb,Kitchen Equipment,,,300.0,,0,41,Low
f0de0900-6a45-49e5-87a7-f90468c0021f,1fc0c3bb-f35c-8d5d-a4fa-a9c1723cd8ab,b9880845-d37b-c083-ffd7-adcaa279cb30,AC Issues,84.67,,650.0,,1,11,Verified
8940a72b-e97b-c430-fe80-dd5f703d2b2c,733dd472-3b1e-dd43-76e5-082ddfe66c5b,93ca06f8-59a4-5441-fa72-8211f7fb7d8a,RO Water Issues,,,300.0,,1,4,Low
9cc03432-0168-846b-b8af-34f2e82c1304,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,AC Issues,,,650.0,,1,8,High
3214e117-49c9-552b-6e9c-cbcfa2d83bf4,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,Furniture,,,500.0,,1,8,Low
bfbf4ee4-3dd6-8946-090f-0356ae9756b7,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,Furniture,,,500.0,,1,8,Low
01f41bfa-c2f0-c2c6-f86a-f9b8cf2cc167,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,AC Issues,,,650.0,,1,8,High
e62170fd-2a8f-147c-f99a-7f35f5948a80,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,Washing machine Issue,,,700.0,,1,8,Low
caa1c9b3-3c45-4470-f1b3-515b2aea1edc,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,Furniture,,,500.0,,1,8,Low
1b3d336b-b145-5392-6446-db743197dacb,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,Washing machine Issue,,,700.0,,1,8,Low
65cada80-da95-693b-58dd-f609d026c2a1,4bdca5eb-f197-a87d-d26a-c63a9b3298a1,48942e49-dfb3-3eff-732a-2842f615cb8a,Furniture,,,500.0,,1,8,Low
f48522e3-b70e-4caf-95c4-4c64695c632a,18d86801-3cb7-11d4-8b9d-433429296014,be0208ae-5786-5d6b-7ab7-8ab62ebff5d0,Internet Issues,,,,,1,11,Low
e61d2cb9-3140-4ef0-b62a-d73a1c750756,9c88cc60-ea13-4dd1-9930-ca14ff0c6aa0,43a9bdbb-3395-d921-f3e4-2c43057aa600,Furniture,239.19,,500.0,,1,1,Verified
76d61ead-a174-4c32-b826-99c5a6277e1f,1dc2bdca-ae79-4cd5-9d74-961c02cce282,15d608c9-9596-d151-b9c5-21b22647f848,Electrical Issues,66.29,,300.0,,1,4,Verified
6383a047-73e9-0049-6be1-ad420bb426d6,f2a00e3d-de04-40a3-6f41-a3ebfcab4a3c,547bd323-8dae-07db-7089-372cd8261276,RO Water Issues,,,300.0,,0,4,Low
298682a6-471a-a4c0-1cc9-4b9dc5ecfaa8,5e6b35c4-2b97-ea86-e422-f03c332f74be,42541fce-4dd2-805a-5d01-5aa7e5db8726,RO Water Issues,,,300.0,,0,1,Low
998c2e22-122e-bbe3-865b-e1ff25394044,ae55ee92-2de5-2688-0d4d-095d6b247552,3e81e085-89a3-9615-e293-bf826bf9b08f,Other,,,,,1,2,Low
a4884c74-2b30-25a0-62a9-6c621ae380fe,ae55ee92-2de5-2688-0d4d-095d6b247552,3e81e085-89a3-9615-e293-bf826bf9b08f,Other,,,,,1,2,Low
72405ca5-e55a-4349-9fdd-ca700389fd6b,,26ce09f1-599b-0d8d-aa06-c08db6a2dcde,Furniture,1.05,,500.0,,0,41,Verified
c1863a04-127e-cef5-7eff-0a3bd5bca7fc,bb36c2de-ac80-369b-bef1-b7a9025ad305,3589b2fd-d842-834a-2660-e15f13fd0de4,Other,,,,,0,1,Low
cfa2d054-c1d3-89ad-2e1b-cc4421339451,d77b5c1e-605d-6795-5eee-1e2f9b83e069,18cdbd64-ea17-6578-2f54-2b5ad8a2c7fe,Plumbing,,,,,0,4,Low
ed21b145-26a5-65ab-bf2c-ddf190872e8f,491b8136-32a1-37c5-5253-b53ff3991d86,15d608c9-9596-d151-b9c5-21b22647f848,Furniture,,,500.0,,1,11,Low
44316f83-5813-fb8e-d2ab-1343d0fab3f2,491b8136-32a1-37c5-5253-b53ff3991d86,15d608c9-9596-d151-b9c5-21b22647f848,Plumbing,,,,,1,11,Low
88a47516-18c5-fc32-41c5-90261c772576,491b8136-32a1-37c5-5253-b53ff3991d86,15d608c9-9596-d151-b9c5-21b22647f848,Plumbing,,,,,1,11,Low
dd4fdec3-f242-30e5-f5e1-aa357590564d,9defe9e8-4059-ba6b-5abd-0d1304e73008,f1cc5c44-ebb5-5f81-9dac-9887fb5bb58e,Furniture,,,500.0,,0,1,Medium
2a9075fb-d301-bbad-581c-adcd1678f49e,af8d560f-407a-4e9b-49e9-88f54d8671f4,b3011caa-4f84-1357-f007-ee364043173f,AC Issues,,,650.0,,0,6,Medium
34da8673-bdcf-9b98-1ca2-9f2896b7f74f,af8d560f-407a-4e9b-49e9-88f54d8671f4,b3011caa-4f84-1357-f007-ee364043173f,RO Water Issues,,,300.0,,1,6,Low
63f97aaf-b20e-8b0a-5d96-7a6350f33a27,af8d560f-407a-4e9b-49e9-88f54d8671f4,b3011caa-4f84-1357-f007-ee364043173f,RO Water Issues,,,300.0,,1,6,Low
a6ee1147-a3cb-5e19-004b-15055ccb08ce,af8d560f-407a-4e9b-49e9-88f54d8671f4,b3011caa-4f84-1357-f007-ee364043173f,Other,,,,,1,6,Low
dee0cae2-cd15-c3db-131c-74eb0aaa95da,af8d560f-407a-4e9b-49e9-88f54d8671f4,b3011caa-4f84-1357-f007-ee364043173f,Other,,,,,1,6,Low
10c1b27a-bfc6-9920-7298-f5e427cb51e0,af8d560f-407a-4e9b-49e9-88f54d8671f4,b3011caa-4f84-1357-f007-ee364043173f,Other,,,,,1,6,Low
1b7a9324-3f5b-bd8a-c773-49a8f0277d78,871465d8-763d-f593-3677-399c50f5ed41,0e28e491-ba1e-8a78-875b-ab861c7f40e6,AC Issues,,,650.0,,0,1,Medium
2132b30e-45a1-4021-801e-c0772c7fcc4d,,,Other,4.33,,,,0,41,Verified
41bdac72-19c0-5a9b-a35f-efc615ffa556,938b7931-4bde-a083-d158-635a65e6da73,ee1fb02c-fb9a-533e-3afc-8a9125d2a24c,AC Issues,,,650.0,,1,1,Low
2d0426ce-4364-67e9-68d1-143468bc86b1,11316c38-dc08-4983-3588-fcadd88bd5d2,69a06a67-b0da-0493-6495-0620f46df91c,Furniture,,,500.0,,1,3,Low
4e4b885f-7557-9cf8-c749-6b24d2c0b86b,11316c38-dc08-4983-3588-fcadd88bd5d2,69a06a67-b0da-0493-6495-0620f46df91c,Furniture,,,500.0,,1,3,Low
807cd978-b74c-c028-1930-847256523211,11316c38-dc08-4983-3588-fcadd88bd5d2,74002291-4d86-7717-21fc-0a504d1080b7,Furniture,,,500.0,,0,3,Low
19f805a8-9b26-2b32-379c-99affa8e1f6b,b85e5e22-b8bb-e217-167e-913ce5dc381e,32dfa2d6-dbf8-4dd2-90a0-e664e838b0ac,Furniture,,,500.0,,1,1,Low
1d6c1d1e-c163-a3ed-f124-0be3e1ea6a82,d6268133-5904-3e9a-6956-9493d2f78a1d,07cdb453-b699-f209-d609-434a47fca737,Furniture,,,500.0,,1,15,Medium
09781585-3e29-b7f6-d8df-192b30112013,d6268133-5904-3e9a-6956-9493d2f78a1d,07cdb453-b699-f209-d609-434a47fca737,Cleaning Issues,,,,,1,15,Low
5f9e416d-811a-4ecf-1b31-737be7ceb3a4,d6268133-5904-3e9a-6956-9493d2f78a1d,07cdb453-b699-f209-d609-434a47fca737,Other,,,,,1,15,Low
a92341f2-7949-9d9a-059c-7ec91da5f73f,d6268133-5904-3e9a-6956-9493d2f78a1d,07cdb453-b699-f209-d609-434a47fca737,Other,,,,,1,15,Low
7aa3d23d-49cc-3e4b-1540-ad55db32c87e,d6268133-5904-3e9a-6956-9493d2f78a1d,07cdb453-b699-f209-d609-434a47fca737,Washing machine Issue,,,700.0,,0,15,Low
e2680a24-cf4d-bfe8-610c-72cf8f84dbc5,d6268133-5904-3e9a-6956-9493d2f78a1d,07cdb453-b699-f209-d609-434a47fca737,Cleaning Issues,,,,,1,15,Low
