entity_id,risk_score,risk_level,anomaly_score,flags,explanation
16a8aad8-07c4-4f3e-b978-32bed777aa47,99.0,Critical,0.982,repeated_issue;process_edit_unlocked,Repeated issue at this location | Resolution was edit-unlocked after closure
3452ec27-2423-4f26-b3e8-61abde88cb0d,98.7,Critical,0.977,repeated_issue;cost_over_expected,Repeated issue at this location | Cost ₹1948.0 exceeds expected ₹300 (+₹1648)
9e794fe8-7c9d-4006-b59c-a654afcd2644,97.1,Critical,0.948,repeated_issue;cost_over_expected,Repeated issue at this location | Cost ₹3400.0 exceeds expected ₹300 (+₹3100)
e2f11fa3-0123-4cab-a9e4-46d077572c09,95.9,Critical,0.925,fast_resolution;cost_over_expected;process_edit_unlocked,Resolved in 2.9h vs 32.6h typical for RO Water Issues | Cost ₹2500.0 exceeds expected ₹300 (+₹2200) | Resolution was edit-unlocked after closure
2186bdc7-f92c-4cce-95be-2dc2d768696f,95.8,Critical,0.924,repeated_issue;cost_over_expected,Repeated issue at this location | Cost ₹2500.0 exceeds expected ₹650 (+₹1850)
32a14c06-3cab-4503-98f6-4a02c22f776b,94.8,Critical,0.905,repeated_issue;fast_resolution;cost_over_expected,Repeated issue at this location | Resolved in 2.9h vs 25.8h typical for Electrical Issues | Cost ₹1120.0 exceeds expected ₹300 (+₹820)
3f7257c9-29d8-41bb-a4d5-18b68bbeba1f,88.6,Critical,0.997,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
925b5fb4-9735-4f08-b8bb-e93d33cc14e1,88.3,Critical,0.991,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
ae92473e-7b54-4b9d-9518-1a34e5d7f714,88.3,Critical,0.993,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
54316a65-9440-462b-b7db-271a2192364b,88.0,Critical,0.987,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
1b24e22a-8d8f-4237-80aa-4709478acf52,87.7,Critical,0.98,repeated_issue;tenant_rejected,Repeated issue at this location | Tenant rejected / did not approve the resolution
64ee36db-ed0b-4fe8-bbfe-d5aa6e77423f,86.2,Critical,0.749,repeated_issue;process_edit_unlocked,Repeated issue at this location | Resolution was edit-unlocked after closure
5e89f675-cd07-456b-89e4-d141040c2f0e,83.9,Critical,0.912,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 5.2h vs 51.8h typical for AC Issues
62ec3e07-d588-4248-a406-54abbe7097eb,83.5,Critical,0.904,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 0.6h vs 51.8h typical for AC Issues
ba000612-08eb-466e-a200-9116b2f0ab0f,83.5,Critical,0.904,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 0.5h vs 25.8h typical for Electrical Issues
698d27f3-fc36-4b88-97b9-bf260b25c5fb,83.2,Critical,0.9,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 3.2h vs 51.8h typical for AC Issues
