ticket_id,ticket_number,asset_id,asset_id_source,asset_code,issue_type,current_repair_date,current_resolution_hours,mapping_confidence,verification_decision,asset_historical_baseline_hours,baseline_source,baseline_confidence,baseline_history_type,baseline_sample_size,faster_percentage,recent_repeat_count_90d,days_since_previous_repair,explanation,baseline_method,baseline_version,evaluated_at
e87fdb6a-0f93-4b63-8bf2-5f346cb9f10d,VIST-26-07-00059,c7044986-1955-41ac-a051-7ba5f4d56833,direct,VH-WH-D21-0002,Heater Issues,,,Verified,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
d83795d2-c76c-1f57-b4f1-a157fb9a1f9e,VISH-26-02-0857,,,,Washing machine Issue,2026-02-14 10:01:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
c9cb7236-8e59-4d71-4640-b5bd5d92fc3c,VISH-25-07-0858,,,,AC Issues,2025-07-18 14:30:00.000,,Medium,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
9b519d24-38bf-9a73-c7bc-13a86452cfc9,VISH-25-08-0859,,,,Electrical Issues,2025-08-12 18:57:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
9e565e88-284e-3695-913b-23d2b5ba38dd,VISH-25-09-0860,,,,RO Water Issues,2025-09-06 15:50:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
2253a749-6272-7393-199c-9d01bf989aaa,VISH-25-09-0861,,,,Plumbing,2025-09-27 15:02:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
e3d3b08e-1168-24d9-88db-6d8af6ed10da,VISH-25-09-0862,c3e4cf3b-765c-4e09-8c22-383bff808a3b,mapped,VH-FN-C12-0002,Electrical Issues,2025-09-05 20:57:00.000,,High,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
54e11d47-087a-301c-2e07-65fe0ff60f46,VISH-25-10-0863,,,,Washing machine Issue,2025-10-05 17:34:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
57873b90-a7d4-ae83-d657-4bc0d57f6ee0,VISH-26-01-0864,,,,Plumbing,2026-01-04 08:47:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
1ef74a90-7dca-6bcb-05da-b385f97420e0,VISH-25-07-0865,,,,AC Issues,2025-07-31 15:30:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
37c4d587-a13a-a523-828b-8c1c3f47c6e5,VISH-25-10-0866,,,,AC Issues,2025-10-30 09:51:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
b5e44530-52eb-195c-23ce-0901df0f2811,VISH-25-10-0867,,,,Other,2025-10-31 00:34:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
58afb6b4-58c2-bb78-8401-0d840281812e,VISH-25-11-0868,,,,Furniture,2025-11-03 10:22:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
50c923c5-a984-3119-6443-cfa0e8805482,VISH-25-11-0869,,,,AC Issues,2025-11-06 17:55:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
cb8c9894-64d9-69dd-3677-6f430d882b79,VISH-25-09-0870,,,,RO Water Issues,2025-09-12 10:47:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
752c8d81-bc98-42db-d215-788d17dba6eb,VISH-25-09-0871,,,,Other,2025-09-17 17:43:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
