query_city,detected_state,rank,apartment_code,room_code,bed_code,bed_type,gender_allowed,lifecycle_status,monthly_rent,current_occupancy_pct,available_beds,occupant_states,occupants_state_summary,same_state_roommate,same_state_note,match_similarity,compatibility_score,demand_score,reason
Coimbatore,Tamil Nadu,1,D11,D11-C,C1,Double,Female,Active,15500.0,50.0,1,Tamil Nadu,Tamil Nadu (1),Yes,,High - 1 occupant(s) from same state,87.5,69.08,Same-state roommates (Tamil Nadu) + Lowest-occupancy apartment
Coimbatore,Tamil Nadu,2,B41,B41-C,C1,Double,Male,Active,14500.0,50.0,1,Tamil Nadu,Tamil Nadu (1),Yes,,High - 1 occupant(s) from same state,87.5,68.59,Same-state roommates (Tamil Nadu) + Lowest-occupancy apartment
Coimbatore,Tamil Nadu,3,B33,B33-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Tamil Nadu is currently available.,Unknown,0.0,86.86,No roommate from Tamil Nadu is currently available. + Low occupancy room + High demand score
Kochi,Kerala,1,C42,C42-B,B2,Double,Female,Active,15500.0,50.0,1,Kerala,Kerala (1),Yes,,High - 1 occupant(s) from same state,87.5,78.61,Same-state roommates (Kerala) + Lowest-occupancy apartment + Nearest bed type to 'Triple' + High demand score
Kochi,Kerala,2,B33,B33-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Kerala is currently available.,Unknown,0.0,86.86,No roommate from Kerala is currently available. + Low occupancy room + Nearest bed type to 'Triple' + High demand score
Kochi,Kerala,3,C31,C31-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Kerala is currently available.,Unknown,0.0,59.91,No roommate from Kerala is currently available. + Low occupancy room + Nearest bed type to 'Triple'
Hyderabad,Telangana,1,B33,B33-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Telangana is currently available.,Unknown,0.0,86.86,No roommate from Telangana is currently available. + Low occupancy room + Preferred bed type (Double) + High demand score
Hyderabad,Telangana,2,C31,C31-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Telangana is currently available.,Unknown,0.0,59.91,No roommate from Telangana is currently available. + Low occupancy room + Preferred bed type (Double)
Hyderabad,Telangana,3,B43,B43-B,B2,Double,Female,Active,15500.0,50.0,1,,None,No,No roommate from Telangana is currently available.,Unknown,62.5,86.26,No roommate from Telangana is currently available. + Low occupancy room + Preferred bed type (Double) + High demand score
Mumbai,Maharashtra,1,B33,B33-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Maharashtra is currently available.,Unknown,0.0,86.86,No roommate from Maharashtra is currently available. + Low occupancy room + High demand score
Mumbai,Maharashtra,2,C31,C31-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Maharashtra is currently available.,Unknown,0.0,59.91,No roommate from Maharashtra is currently available. + Low occupancy room
Mumbai,Maharashtra,3,B43,B43-B,B2,Double,Female,Active,15500.0,50.0,1,,None,No,No roommate from Maharashtra is currently available.,Unknown,62.5,86.26,No roommate from Maharashtra is currently available. + Low occupancy room + High demand score
Gurgaon,Haryana,1,B33,B33-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Haryana is currently available.,Unknown,0.0,86.86,No roommate from Haryana is currently available. + Low occupancy room + Nearest bed type to 'Single' + High demand score
Gurgaon,Haryana,2,C31,C31-C,C1,Double,Male,Active,14500.0,0.0,2,,None,No,No roommate from Haryana is currently available.,Unknown,0.0,59.91,No roommate from Haryana is currently available. + Low occupancy room + Nearest bed type to 'Single'
Gurgaon,Haryana,3,B43,B43-B,B2,Double,Female,Active,15500.0,50.0,1,,None,No,No roommate from Haryana is currently available.,Unknown,62.5,86.26,No roommate from Haryana is currently available. + Low occupancy room + Nearest bed type to 'Single' + High demand score
