apartment_code,room_code,historical_average_fill_days,n_historical_refills,recent_average_fill_days,n_recent_refills,expected_fill_days,expected_source
A11,A11-A,0.0,1,0.0,1,0.0,recent
A11,A11-B,41.0,1,41.0,1,41.0,recent
A11,A11-C,18.0,2,18.0,2,18.0,recent
A12,A12-A,23.0,1,23.0,1,23.0,recent
A12,A12-B,13.8,6,13.8,6,13.8,recent
A12,A12-C,,0,,0,,none
A22,A22-A,8.0,1,8.0,1,8.0,recent
A22,A22-B,,0,,0,,none
A22,A22-C,,0,,0,,none
A23,A23-A,11.7,6,1.5,2,1.5,recent
A23,A23-B,24.4,10,8.7,3,8.7,recent
A23,A23-C,38.2,8,49.0,2,49.0,recent
A24,A24-A,63.8,8,59.7,3,59.7,recent
A24,A24-B,34.8,23,37.3,11,37.3,recent
A24,A24-C,59.5,15,15.4,8,15.4,recent
A41,A41-A,26.5,4,32.0,3,32.0,recent
A41,A41-B,3.3,9,2.3,6,2.3,recent
A41,A41-C,3.5,10,5.0,6,5.0,recent
A41,A41-D,6.3,6,3.2,4,3.2,recent
A44,A44-A,69.0,7,50.0,3,50.0,recent
A44,A44-B,26.7,14,15.0,2,15.0,recent
A44,A44-C,37.5,15,42.4,5,42.4,recent
A44,A44-D,7.1,7,0.0,1,0.0,recent
B11,B11-A,13.8,4,20.5,2,20.5,recent
B11,B11-B,12.6,10,5.8,4,5.8,recent
B11,B11-C,17.3,11,19.7,3,19.7,recent
B11,B11-D,2.7,6,0.3,3,0.3,recent
B12,B12-A,16.4,5,12.0,2,12.0,recent
B12,B12-B,16.4,8,14.0,1,14.0,recent
B12,B12-C,43.2,5,56.3,3,56.3,recent
B13,B13-A,1.2,4,,0,1.2,historical
B13,B13-B,21.2,13,18.8,5,18.8,recent
B13,B13-C,8.4,9,5.0,1,5.0,recent
B14,B14-A,25.1,8,15.0,4,15.0,recent
B14,B14-B,,0,,0,,none
B14,B14-C,18.6,8,12.5,2,12.5,recent
B22,B22-A,19.2,5,5.0,1,5.0,recent
B22,B22-B,14.0,11,3.6,5,3.6,recent
B22,B22-C,8.9,9,11.0,3,11.0,recent
B24,B24-A,48.8,9,41.0,2,41.0,recent
B24,B24-B,22.6,19,23.3,10,23.3,recent
B24,B24-C,23.8,8,23.0,6,23.0,recent
B31,B31-B,1.0,1,1.0,1,1.0,recent
B31,B31-C,18.0,5,15.0,4,15.0,recent
B32,B32-A,39.0,1,39.0,1,39.0,recent
B32,B32-B,12.4,8,7.0,1,7.0,recent
B32,B32-C,7.3,6,11.0,3,11.0,recent
B33,B33-A,6.5,6,0.0,1,0.0,recent
B33,B33-B,19.6,21,28.1,8,28.1,recent
B33,B33-C,6.9,14,5.8,10,5.8,recent
B34,B34-A,60.8,8,91.0,2,91.0,recent
B34,B34-B,26.2,6,31.0,5,31.0,recent
B34,B34-C,10.4,10,10.5,2,10.5,recent
B41,B41-A,15.5,2,0.0,1,0.0,recent
B41,B41-B,13.1,18,21.2,9,21.2,recent
B41,B41-C,41.2,14,45.6,5,45.6,recent
B41,B41-D,14.2,5,0.0,1,0.0,recent
B42,B42-A,11.0,6,10.0,4,10.0,recent
B42,B42-B,17.1,7,3.7,3,3.7,recent
B42,B42-C,10.5,2,0.0,1,0.0,recent
B43,B43-A,12.1,9,2.4,5,2.4,recent
B43,B43-B,12.5,13,8.4,7,8.4,recent
B43,B43-C,22.4,9,26.2,6,26.2,recent
B44,B44-A,22.8,4,29.7,3,29.7,recent
B44,B44-B,16.7,17,13.4,8,13.4,recent
B44,B44-C,29.8,12,63.0,4,63.0,recent
C11,C11-A,32.4,8,53.5,4,53.5,recent
C11,C11-B,14.4,14,5.5,4,5.5,recent
C11,C11-C,15.4,12,1.8,5,1.8,recent
C12,C12-A,9.2,8,11.0,2,11.0,recent
C12,C12-B,56.8,5,56.8,5,56.8,recent
C12,C12-C,15.6,12,10.7,7,10.7,recent
C12,C12-D,51.7,9,51.7,9,51.7,recent
C21,C21-A,36.9,10,27.2,4,27.2,recent
C21,C21-B,131.4,5,43.7,3,43.7,recent
C21,C21-C,42.8,12,132.0,1,132.0,recent
C21,C21-D,22.0,7,11.7,3,11.7,recent
C24,C24-B,50.3,12,54.4,8,54.4,recent
C24,C24-C,9.5,2,,0,9.5,historical
C31,C31-A,34.4,8,38.4,5,38.4,recent
C31,C31-B,26.0,4,,0,26.0,historical
C31,C31-C,41.4,10,56.0,6,56.0,recent
C31,C31-D,30.0,8,1.5,4,1.5,recent
C34,C34-A,40.2,8,2.0,4,2.0,recent
C34,C34-B,27.0,5,7.0,1,7.0,recent
C34,C34-C,29.6,8,28.0,2,28.0,recent
C41,C41-A,16.0,1,,0,16.0,historical
C41,C41-B,28.8,9,28.0,5,28.0,recent
C41,C41-C,38.5,10,44.4,7,44.4,recent
C41,C41-D,1.0,1,,0,1.0,historical
C42,C42-A,19.5,6,13.0,3,13.0,recent
C42,C42-B,32.5,10,18.8,5,18.8,recent
