apartment_code,room_code,bed_type,capacity,occupied_beds,available_beds,available_bed_codes,current_occupancy_pct,current_revenue,current_rent,recent_occupancy_pct,recent_revenue,recent_vacancy_events,recent_refills,recent_fill_rate,average_vacancy_days_recent,historical_occupancy_pct,historical_revenue,occupant_states,occupant_genders,occupant_occupations,occupant_ages,gender_allowed,bed_status,bed_lifecycle_status,toilet_type,current_rate,bed_codes,lifecycle_status,demand_score
A11,A11-A,Single,1,1,0,,100.0,19500.0,19500.0,100.0,230617.61,1,1,1.0,0.0,100.0,230617.61,,male,student,23.3,Male,Active,occupied,Common,19500.0,A1,Active,82.61
A11,A11-B,Double,2,2,0,,100.0,31000.0,15500.0,93.91,337598.55,1,1,1.0,41.0,93.91,337598.55,,male; male,student; student,25.7; 29.8,Male,Active,occupied,Attached,15500.0,B1; B2,Active,76.37
A11,A11-C,Double,2,2,0,,100.0,29000.0,14500.0,93.75,321534.17,2,2,1.0,18.0,93.75,321534.17,,male; male,student; student,24.3,Male,Active,occupied,Common,14500.0,C1; C2,Active,80.14
A12,A12-A,Single,1,1,0,,100.0,19500.0,19500.0,93.03,196665.57,1,1,1.0,23.0,93.03,196665.57,,female,student,28.4,Female,Active,occupied,Common,19500.0,A1,Active,74.84
A12,A12-B,Double,2,2,0,,100.0,31000.0,15500.0,88.54,326396.19,6,6,1.0,13.8,88.54,326396.19,Maharashtra; Tamil Nadu,female; female,student; student,21.0; 29.0,Female,Active,occupied,Attached,15500.0,B1; B2,Active,79.38
A12,A12-C,Double,2,2,0,,100.0,29000.0,14500.0,99.86,346304.2,0,0,,,99.86,346304.2,,female; female,student; student,22.8; 23.5,Female,Active,occupied,Common,14500.0,C1; C2,Active,61.37
A22,A22-A,Single,1,0,1,A1,0.0,0.0,19500.0,23.94,54451.38,2,1,0.5,8.0,23.94,54451.38,,,,,Male,Not-Active,vacant,Common,19500.0,A1,Inactive,37.78
A22,A22-B,Double,2,0,2,B1; B2,0.0,0.0,15500.0,42.46,154796.32,2,0,0.0,,42.46,154796.32,,,,,Male,Not-Active,vacant,Mixed,15500.0,B1; B2,Inactive,23.69
A22,A22-C,Double,2,0,2,C1; C2,0.0,0.0,14500.0,42.6,145285.81,2,0,0.0,,42.6,145285.81,,,,,Male,Not-Active,vacant,Common,14500.0,C1; C2,Inactive,23.42
A23,A23-A,Single,1,1,0,,100.0,19500.0,19500.0,99.48,365013.14,2,2,1.0,1.5,94.25,714175.43,Chhattisgarh,male,student,29.0,Male,Active,occupied,Common,19500.0,A1,Active,86.58
