apartment,tickets,within_sla,breached,breach_pct,avg_sla_hours,avg_resolution_hours,avg_closure_hours,avg_delay_hours
(unknown),1,0,1,100.0,24.0,0.0,669.2,645.2
A11,6,0,5,100.0,12.7,9.3,1033.4,1019.4
A12,12,0,7,100.0,15.5,44.5,412.0,394.3
A22,5,0,4,100.0,24.0,0.0,140.3,116.3
A23,62,0,52,100.0,14.1,26.1,502.3,488.0
B11,49,0,39,100.0,15.5,21.3,551.3,534.4
C44,23,0,17,100.0,17.4,36.6,776.2,757.2
B24,55,0,41,100.0,13.3,38.2,351.2,338.1
B32,11,0,10,100.0,17.5,4.6,1542.8,1524.2
B31,8,0,5,100.0,14.8,61.3,1214.5,1197.7
B43,31,0,24,100.0,13.1,43.8,809.9,796.9
B34,25,0,19,100.0,17.0,75.7,782.9,765.6
D15,11,0,11,100.0,13.6,163.5,441.6,427.9
C42,31,0,19,100.0,16.7,32.3,510.3,491.5
D11,69,0,58,100.0,14.0,37.0,461.2,447.0
B42,70,1,61,98.4,15.5,12.7,507.0,491.3
B41,62,1,49,98.0,16.6,10.6,611.3,595.4
B22,36,1,28,96.6,13.3,73.8,675.6,663.0
C31,37,1,27,96.4,13.0,13.5,833.6,821.1
C21,33,1,25,96.2,15.6,81.2,1063.9,1048.5
D12,31,1,23,95.8,14.0,19.3,659.1,645.6
B44,51,2,40,95.2,15.7,30.1,613.4,598.3
B13,47,2,38,95.0,12.3,35.7,467.8,455.1
A24,25,1,18,94.7,17.2,10.4,257.1,240.5
D21,90,4,72,94.7,11.8,66.0,513.1,501.2
D41,50,2,36,94.7,17.0,79.8,747.2,730.5
B33,43,2,35,94.6,16.0,23.6,781.4,765.1
C24,22,1,17,94.4,16.5,31.5,730.9,715.0
B12,63,3,51,94.4,15.7,22.6,676.9,661.1
A41,37,2,26,92.9,17.5,27.7,927.7,910.6
B14,30,2,18,90.0,13.5,42.3,748.3,734.1
A44,54,5,41,89.1,17.6,89.2,700.3,682.5
C12,85,8,65,89.0,14.8,26.8,474.9,460.0
C43,37,3,24,88.9,13.8,92.5,774.8,760.8
C34,86,9,63,87.5,15.0,35.2,545.9,531.3
C41,91,16,68,81.0,14.7,5.9,432.2,417.4
C11,19,3,10,76.9,13.5,27.9,555.0,542.3
D13A,6,2,4,66.7,18.0,101.6,448.4,430.4
