ticket_id,created_at_present,closed_at_present,sla_present,included_in_sla_analysis,exclusion_reason
e87fdb6a-0f93-4b63-8bf2-5f346cb9f10d,Yes,No,Yes,No,Missing closed_at
d83795d2-c76c-1f57-b4f1-a157fb9a1f9e,No,Yes,Yes,No,Missing created_at
c9cb7236-8e59-4d71-4640-b5bd5d92fc3c,No,Yes,Yes,No,Missing created_at
9b519d24-38bf-9a73-c7bc-13a86452cfc9,No,Yes,Yes,No,Missing created_at
9e565e88-284e-3695-913b-23d2b5ba38dd,No,Yes,Yes,No,Missing created_at
2253a749-6272-7393-199c-9d01bf989aaa,No,Yes,Yes,No,Missing created_at
e3d3b08e-1168-24d9-88db-6d8af6ed10da,No,Yes,Yes,No,Missing created_at
54e11d47-087a-301c-2e07-65fe0ff60f46,No,Yes,Yes,No,Missing created_at
57873b90-a7d4-ae83-d657-4bc0d57f6ee0,No,Yes,Yes,No,Missing created_at
1ef74a90-7dca-6bcb-05da-b385f97420e0,No,Yes,Yes,No,Missing created_at
37c4d587-a13a-a523-828b-8c1c3f47c6e5,No,Yes,Yes,No,Missing created_at
b5e44530-52eb-195c-23ce-0901df0f2811,No,Yes,Yes,No,Missing created_at
58afb6b4-58c2-bb78-8401-0d840281812e,No,Yes,Yes,No,Missing created_at
50c923c5-a984-3119-6443-cfa0e8805482,No,Yes,Yes,No,Missing created_at
cb8c9894-64d9-69dd-3677-6f430d882b79,No,Yes,Yes,No,Missing created_at
752c8d81-bc98-42db-d215-788d17dba6eb,No,Yes,Yes,No,Missing created_at
7db38434-5d5c-80cd-e524-00e52d3546e6,No,Yes,Yes,No,Missing created_at
96c1cf88-5d0c-4449-a197-7c8bc5fd4dc3,Yes,Yes,Yes,Yes,
846c9340-23b3-47a4-8a54-5953b41f2f7a,Yes,No,Yes,No,Missing closed_at
f0de0900-6a45-49e5-87a7-f90468c0021f,Yes,Yes,Yes,Yes,
8940a72b-e97b-c430-fe80-dd5f703d2b2c,No,Yes,Yes,No,Missing created_at
9cc03432-0168-846b-b8af-34f2e82c1304,No,Yes,Yes,No,Missing created_at
3214e117-49c9-552b-6e9c-cbcfa2d83bf4,No,Yes,Yes,No,Missing created_at
bfbf4ee4-3dd6-8946-090f-0356ae9756b7,No,Yes,Yes,No,Missing created_at
01f41bfa-c2f0-c2c6-f86a-f9b8cf2cc167,No,Yes,Yes,No,Missing created_at
e62170fd-2a8f-147c-f99a-7f35f5948a80,No,Yes,Yes,No,Missing created_at
caa1c9b3-3c45-4470-f1b3-515b2aea1edc,No,Yes,Yes,No,Missing created_at
1b3d336b-b145-5392-6446-db743197dacb,No,Yes,Yes,No,Missing created_at
65cada80-da95-693b-58dd-f609d026c2a1,No,Yes,Yes,No,Missing created_at
f48522e3-b70e-4caf-95c4-4c64695c632a,Yes,No,Yes,No,Missing closed_at
e61d2cb9-3140-4ef0-b62a-d73a1c750756,Yes,Yes,Yes,Yes,
76d61ead-a174-4c32-b826-99c5a6277e1f,Yes,Yes,Yes,Yes,
6383a047-73e9-0049-6be1-ad420bb426d6,No,Yes,Yes,No,Missing created_at
298682a6-471a-a4c0-1cc9-4b9dc5ecfaa8,No,Yes,Yes,No,Missing created_at
998c2e22-122e-bbe3-865b-e1ff25394044,No,Yes,Yes,No,Missing created_at
a4884c74-2b30-25a0-62a9-6c621ae380fe,No,Yes,Yes,No,Missing created_at
72405ca5-e55a-4349-9fdd-ca700389fd6b,Yes,Yes,Yes,Yes,
c1863a04-127e-cef5-7eff-0a3bd5bca7fc,No,Yes,Yes,No,Missing created_at
cfa2d054-c1d3-89ad-2e1b-cc4421339451,No,Yes,Yes,No,Missing created_at
ed21b145-26a5-65ab-bf2c-ddf190872e8f,No,Yes,Yes,No,Missing created_at
44316f83-5813-fb8e-d2ab-1343d0fab3f2,No,Yes,Yes,No,Missing created_at
88a47516-18c5-fc32-41c5-90261c772576,No,Yes,Yes,No,Missing created_at
dd4fdec3-f242-30e5-f5e1-aa357590564d,No,Yes,Yes,No,Missing created_at
2a9075fb-d301-bbad-581c-adcd1678f49e,No,Yes,Yes,No,Missing created_at
34da8673-bdcf-9b98-1ca2-9f2896b7f74f,No,Yes,Yes,No,Missing created_at
63f97aaf-b20e-8b0a-5d96-7a6350f33a27,No,Yes,Yes,No,Missing created_at
a6ee1147-a3cb-5e19-004b-15055ccb08ce,No,Yes,Yes,No,Missing created_at
dee0cae2-cd15-c3db-131c-74eb0aaa95da,No,Yes,Yes,No,Missing created_at
