metric,value
total_tickets,1505.0
confidence.Verified,266.0
confidence_pct.Verified,17.7
confidence.High,199.0
confidence_pct.High,13.2
confidence.Medium,83.0
confidence_pct.Medium,5.5
confidence.Low,939.0
confidence_pct.Low,62.4
confidence.Unmapped,18.0
confidence_pct.Unmapped,1.2
reliable_verified_high,465.0
reliable_pct,30.9
incl_medium,548.0
incl_medium_pct,36.4
tickets_with_asset_link,548.0
distinct_assets_linked,280.0
method.bed_issue_type_unmapped,464.0
method.bed_no_type_match,344.0
method.direct_asset_id,266.0
method.bed_type_unique,199.0
method.bed_type_many,55.0
method.bed_type_multi,50.0
method.apartment_issue_type_unmapped,49.0
method.apartment_type_many,25.0
method.apartment_type_multi,19.0
method.no_allocation_pool,18.0
method.apartment_type_unique,14.0
method.apartment_no_type_match,2.0
