apartment_code,room_code,bed_code,current_vacant_days,expected_fill_days,vacancy_status,recent_average_fill_days,historical_average_fill_days
A22,A22-A,A1,269,8.0,Critical,8.0,8.0
B33,B33-C,C2,43,5.8,Critical,5.8,6.9
C34,C34-C,C1,41,28.0,Delayed,28.0,29.6
C42,C42-B,B2,23,18.8,Delayed,18.8,32.5
B41,B41-C,C1,23,45.6,Normal,45.6,41.2
A44,A44-C,C2,21,42.4,Normal,42.4,37.5
D11,D11-C,C1,20,53.3,Normal,53.3,34.8
C31,C31-C,C1,19,56.0,Normal,56.0,41.4
C31,C31-C,C2,19,56.0,Normal,56.0,41.4
A22,A22-B,B1,213,,Unknown,,
A22,A22-B,B2,213,,Unknown,,
A22,A22-C,C2,213,,Unknown,,
A22,A22-C,C1,212,,Unknown,,
